no,sport name
138,Cammag — a sport similar to shinty or hurling from the Isle of Man.
139,Camogie — the female version of hurling played in Ireland.
140,Campdrafting — a sport from Australia where a rider on horseback attempts to cut out a cattle from its herd and drive it into a pen.
141,Canadian Football — a type of gridiron football which is played in Canada.
142,Candlepin Bowling — a type of bowling like tenpin bowling using candlepins and smaller balls.
143,Caneball — another name for the Myanmar (Burmese) traditional sport of Chinlone.
144,Canicross — a variant of cross country running in which runners have to complete the course accompanied with their dogs.
145,Canne de Combat — a French martial art in which opponents battle each other inside a ring with a cane in one hand. A type of Stick-Fighting.
146,Canoeing — paddle sport in which the rider kneels or sits facing forward in a canoe.
147,"Canoe Marathon —  athletes paddle a kayak or canoe over a long distance, often with out-of-water sections."
148,"Canoe Polo — like polo on water, the objective is to score by throwing or hitting a ball through a goal suspended two meters above the water."
149,"Capoeira — a form of martial art from Brazil which has a combination of aspects of dance moves, acrobatics, movements and music."
150,Canopy Piloting — a parachute skydiver performs aerial feats above a small body of water. Also called Pond Swooping.
151,Capture The Flag — the aim is to get the other team’s flag which is located at their base.
152,Car Ice Racing — cars race across a strip of frozen water.
153,"Carriage Driving — sports in which horses or ponies are hitched to a wagon, carriage, cart or sleigh by means of a harness."
154," Carom Billiards — A cue sport played on a felt covered table with cues and billiard balls, in which the object is to score points by caroming your cue ball off both the opponent's cue ball and the object ball(s) with a single shot. There is a large range of disciplines including Artistic Billiards, Three-Cushion Billiards, Five-Pin Billiards, Balkline, Straight Rail, Cushion Caroms, Four-Ball."
155,"Casting — fishing without fish, the objective is to test the accuracy and distance of a cast."
156,Catchball — a easier version of volleyball in which the players catch and throw the ball rather than hit it with their hands.
157,Cestoball — an Argentinian female sport similar to netball.
158,"Chase Tag — like the playground game of tag, a chaser has 20 seconds to tag an evader as they race round an obstacle course."
159,Cheerleading — a dubious sport in which groups of cheerleaders do routines that are subjectively assessed.
160,Chess — a strategy board game played by two players on a checkered gameboard with 64 squares arranged in an 8×8 grid.
161,Chess boxing — a combination of chess and boxing.
162,Chilean Rodeo — two riders on horseback try to stop a calf.
163,"Chinese Handball — a form of American handball which is popular in the streets of NY, similar to Wallball."
164,"Chinlone — the traditional sport of Burma or Myanmar, a team sport combined with dance (also known as Caneball)."
165,Chuckwagon Racing — a chuckwagon is pulled by four thoroughbred horses around a track.
166,Circle Rules Football — played on a circular field with one central goal in which teams score in opposing directions using a yoga ball.
167,Clay Pigeon Shooting — shooters try to shoot flying targets like the clay pigeons or clay targets.
168,Clean and Jerk — one of the events Olympic weight lifting competition.
169,"Clout Archery — a form of Archery, similar to Target Archery, except you aim at a flag among a group of concentric circular scoring zones from long range."
170,"Club Throw — a track and field disabled sports event, the objective is to throw a wooden club as far as possible."
171,"Coastal (Offshore) Rowing — a type of rowing performed on open water, requiring wider and more robust boats than those used on rivers and lakes."
172,Collegiate Wrestling — a wrestling style practiced exclusively in the United States at a collegiate level.
173,"Combined Driving — a driver on a carriage pulled by horses takes part in three events: dressage, marathon and cones."
174,Competitive Eating — involves participants competing on who can consume the most food in a short period of time.
175,Corkball — a sport derived from baseball with a smaller ball which can be played in a much smaller field (often referred as mini-baseball).
176,"Cornhole — a bag toss game, in which you throw a small soft bag towards an angled board with a hole at the far end."
177,Cowboy Action Shooting — involves shooting targets with a variety of guns that were typical of the late 19th century.
178,Cowboy Mounted Shooting — involves shooting at targets while riding a horse.
179,"Cowboy Polo — similar to regular Polo, though riders compete with western saddles, usually in a smaller arena and with an inflatable rubber medicine ball."
180,Court Tennis — another name for Real Tennis.
181,"Crab Soccer or Crab Football — football with players supporting themselves on their hands and their feet, face up, which makes them look like crabs."
182,Crazy Golf — a common name for Minigolf.
183,"Cricket — a team sport played on a rectangular pitch in the centre of a large grass oval, two batters protect their wicket while the fielding team try to get them out. Forms include Test, One-Day and T20."
184,Croquet — players hit plastic or wooden balls using a mallet through hoops.
185,Crossbow Archery — an archery discipline in which a crossbow is used instead of a regular bow.
186,"Cross-Country Equestrian  — horse riders are required to jump over 30 to 40 obstacles within a fixed time, incurring penalties for exceeding the allocated time or if a horse refuses to clear an obstacle."
187,Cross-Country Skiing — races over snow-covered terrain using skis.
188,Cross-Country Mountain Biking — off-road cycling races over rough terrain.
189,"Cross-Country Rally — another name for Rally Raid, an extended form of off-road rally racing."
190,Cross-Country Running — distance running races over natural terrain.
191,"Crossnet — a cross between volleyball and 4-square, played with a four-way net."
192,"Cross Triathlon — a variation of the traditional triathlon, with swim stage, mountain-biking stage and a trail-running stage."
193,"Crossfit  — a strength and conditioning program involving short but high-intensity workouts comprised of functional exercises. Not really a sport, but they do organize fitness competitions such as the CrossFit Games."
194,Crossminton — badminton played with no net adapted to make it suitable for playing outdoors (formerly called Speed Badminton or Speedminton).
195," Cue Sports (Billiards) — a general term for a large range of indoor sports played on a felt top table, with or without pockets. Examples include Pocket Billiards (Pool) and Snooker."
196,Cup Stacking — see the sport of Sport Stacking.
197,Curling — players slide stones on a sheet of ice towards the target area.
198,"Cushion Caroms — a cue sport and Carom Billiards discipline, played on a pocketless table with two white balls and a red ball. The aim is to carom off of both object balls with at least one rail being struck before the hit on the second object ball."
199,Cutting — an American western style sport of the equestrian discipline in which the objective for a rider on a horseback is to separate a few cows from its herd and prevent them from returning.
200,Cycling — there is a large range of sports involving riding a bicycle.
201,"Cycle Ball — the game play is similar to that of association football, but is played with each player riding a bicycle."
202,Cycle Polo — see Bicycle Polo.
203,Cycle Speedway — replicating motor speedway using bicycles.
204,Cycling Time Trial — a bicycle race in which cyclists race alone against the clock.
205,"Cyclo-Cross — a type of bicycle racing, a winter sport performed over various terrain."
206,Czech Handball — a ball game created in the Czech Republic with similarities with Team Handball.
207,"Dancesport — Dancesport is the competitive form of Ballroom and Latin Dancing, in which contestants perform dances before judges."
208,Dandi Biyo — a game from Nepal played with two sticks; the long stick is used to strike the shorter one in the air.
209,"Danish Longball — a bat and ball game developed in Denmark, like a hybrid of baseball and cricket."
210,"Dartchery — a combination of darts and archery, using bows and arrows typically used for archery, but the target is a dart board."
211,"Darts — a throwing game in which small missiles are thrown at a target, which is called a dartboard."
212,Daur Hockey — another name for Beikou Tarkbei — an old Chinese sport similar to field hockey.
213,"Deadlifting — a powerlifting event where participants lift a loaded barbell off the ground to the hips, and then lower it back to the ground."
214,Deaf Basketball — basketball which is played by deaf people. Players use sign language to communicate with each other including the refs.
215,Decathlon — track and field event comprising 10 events held over two days.
216,Demolition Derby — involves drivers hammering their vehicles against each other.
217,Digor — a sport from Bhutan in which a pair of spherical flat stones are hurled at two targets fixed in the ground 20 meters apart.
218,Disc Dog — dog frisbee competitions of distance catching and choreographed freestyle catching.
219,"Disc Golf — golf using a frisbee disc, the objective is to traverse a course from start to end with the fewest number of throws."
220,Disc Sports — various sports or games played using flying discs (frisbees).
221,Discus — track and field event where athletes attempt to throw a heavy disc object far as they can.
222,"Diving — an aquatic sport where athletes dive into water from a raised launch pad, while performing acrobatic movements."
223,Dodgeball — two teams throw balls at each other while trying to avoid the balls.
224,Dog Agility — dogs have to navigate through a course that has various types of obstacles under the direction of a handler. (not a sport).
225,Dog Racing — greyhounds chase a lure around a track.
226,Dog Sledding — teams of dogs pull a sled with the driver.
227,Dog Sports — general term for sporting activities that involve dogs (which are mostly not even sports).
228,Downhill Skiing — participants slide down a snow-covered hill using skis with fixed bindings.
229,Downhill Mountain Biking — biking sport which is held on steep and rough terrain.
230,Drag boat racing — drag racing which is held on water with boats.
231,Drag racing — automobiles or motorcycles race down a straight track.
232,Dragon Boat Racing — a paddling sport using a long boat with many paddlers.
233,Dressage — an equestrian sport in which riders and horses perform from memory a series of predetermined events.
234,"Drifting — car drivers take corners at speed and the back wheels slide out, and are judged according to the speed, angle, showmanship and line taken through a corner."
235,Drone Racing — competitors race with specially built multi-rotor drones around a natural or specifically designed course (not a sport).
236,Drunken Boxing (or Drunkard's Boxing or Zui Quan). It is a concept in traditional Chinese martial arts.
237,"Duathlon — similar to triathlon, running first, then cycling, then running again."
238,"Duckpin bowling — a type of 10-pin bowling, though with smaller balls."
239,Dumog — a Filipino style of wrestling while standing upright.
240,"Ecuavoley — a variant of volleyball though the net is higher and played with three players, invented and played in Ecuador."
241,"Eight-Ball — a cue sport, which is one of the most popular variants of pool, using 15 colored balls numbered from 1 to 15."
242,Eight-man Football — a mini version of American Football played by high schools with smaller enrollments.
243,Ekiden — long-distance relay running typically held on roads.
244,"Elephant Polo — a form of Polo, played on the back of elephants instead of on horseback."
245,"Endurance Racing — a motorsport where teams of two or four race for long distances, that tests their physical endurance and the durability of their vehicles."
246,"Endurance Riding — an equestrian discipline, where riders and horses compete in races over very long distances."
247,Endurance Running — track and field running races over distances of 3kms and greater.
248,"Enduro — a motorcycle sport with the main objective to traverse a series of checkpoints, arriving exactly at a predetermined time. The courses are usually run over thickly wooded terrain, sometimes with large obstacles."
249,"Endurocross — hybrid sport combining elements from Supercross, Enduro, and Trials (also called or indoor enduro)."
250," English Billiards — sometimes just called Billiards, requires two cue balls and a red object ball. The game features both cannons (caroms) and the pocketing of balls as objects of play, scoring points for each of these. See Cue Sports."
251,Equestrian — competitions testing horse riding skills.
252,Equestrian Vaulting — a gymnastics and dance discipline completed on horseback.
253,e-Sports — competitive form of playing computer games (gaming).
254,Eton Fives — a handball sport derived from the English sport Fives.
255,European (Team) Handball — another name for the sport of Handball.
256,"Eventing — riders compete in three types of races, dressage, cross-country and show jumping, in a single competition."
257,Expedition racing — an endurance event combining two or more disciplines. More commonly called Adventure Racing.
258,"Fast Pitch Softball  — the competitive form of softball, where the pitcher's arm rotates 360 degrees around the shoulder until the ball is released from the hand."
259,"Fast5 — a variation of netball, formerly known as Fastnet, with only 5 players per team."
260,Fell Running — running races done off-road and mostly uphill.
261,Fencing — competitors face each other and attempt to touch each other with the tip of a thin sword.
262,"Field Archery — a form of Archery which involves shooting at targets of varying distance, often in rough terrain."
263,"Field Handball — the original version of Handball, played outdoors on a larger field and more players. It is also known as Outdoor Handball or Grass Handball."
264,"Field Hockey — played outdoors on turf, players hit a hard round ball through goals using sticks with curved ends."
265,Field Lacrosse — a full contact outdoor men's version of lacrosse.
266,Field Target — an outdoor air gun discipline.
267,"Fierljeppen — contestants using a long pole, vault across a canal. Also called Canal Jumping."
268,Figure Skating — an artistic ice skating sport where athletes perform routines on an ice rink. Includes the disciplines of Ice Dancing and Synchronized Skating.
269,Finnish Skittles — opposing players take turns to knock down their opponent's skittles.
270,Finswimming — an underwater swimming sport where athletes race against each while wearing breathing apparatus.
271,"Fishing — usually a recreational activity, though when in competition it can be a sport. See Sport Fishing."
272,Fistball — an outdoor team sport similar to volleyball.
273,Fisticuffs — another name for bare-knuckle boxing.
274,"Five-a-Side Football — each team fields five players on a smaller pitch, with smaller goals and a reduced game duration."
275,Five-pin bowling — a bowling variant from Canada with smaller balls and only 5 pins.
276," Five-Pin Billiards — a Carom Billiards discipline popular in Italy and Argentina, in which points are gained by using one's cue ball to cause the opponent's cue ball to knock over pins."
277,Fives — an English sport in which a ball is propelled against the walls in a specially designed court by using a bare or gloved hand.
278,Flag Football — similar to American football but instead of tackling players the defensive team have to remove a flag from the ball carrier.
279,Flight Archery — a form of archery in which the aim is to shoot the arrow as far as possible.
280,Floor (Gymnastics) — gymnasts perform a tumbling and dance routine on a floor space.
281,"Floor Hockey — refers to a collection of indoor hockey sports which were derived from various hockey codes, played on dry, flat floor surfaces such as a gymnasium or basketball court."
282,"Floorball — a type of floor hockey sport played indoors, popular in Nordic countries."
283,Flyboarding — an extreme water sport in which athletes perform tricks while wearing a water jetpack attached to a jet ski.
284,"Footbag — group of sports that is named after the ball (""Footbag"") that is used to play the sport. Sports include Freestyle and Footbag Net."
285,Footbag Net — players have to kick a footbag over a 5ft high net.
286,"Football — Around the world, Football mostly refers to Association Football, also known as Soccer in some places. In the USA, Football refers to American Football (Gridiron). In Australia, Football refers to Australian Rules Football."
287,"Football Tennis — also known as futnet, played by kicking a ball over a low net, with a bounce allowed."
288,"Footgolf — a mix of golf and football, where players use football skills to kick a ball into holes."
289,Footpool — novelty version of billiards using an oversized table and soccer balls.
290,Footvolley — like beach volleyball though you can only use your feet.
291,Formula Racing — motor racing using open-wheeled single seat vehicles.
292,Four Square — schoolyard ball game played in a quadrant.
293,"Four-Ball — a Carom Billiards discipline, played on a pocketless table with four balls (2 red, 2 white), where a point is scored when a player caroms on any two other balls, and two points are scored when the player caroms on each of the three other balls. A variant played in Asia is called Yotsudama."
294,Freediving — underwater diving sport which relies on the diver’s ability to hold their breath.
295,"Freerunning — a version of parkour that adds acrobatic moves that are purely aesthetic, also known as tricking."
296,Freestyle BMX — stunt riding sport using BMX bikes.
297,"Freestyle Flying Disc — creative, acrobatic, and athletic maneuvers with a flying disc."
298,Freestyle Footbag — performing various tricks with a footbag.
299,Freestyle Football — athletes compete to perform various tricks using a football.
300, Freestyle Motocross — competition based upon points for acrobatic ability on an MX bike over jumps. See also Motocross.
301,Freestyle Skateboarding — performing tricks with a skateboard while flat ground skateboarding.
302,"Freestyle Skiing — different forms of freestyle skiing including Aerial skiing, Mogul skiing, Ski ballet, Ski cross, Half-pipe skiing, Slopestyle skiing."
303,Freestyle Slalom Skating — involves performing tricks around a straight line of equally spaced cones while wearing inline skates.
304,Freestyle Snowboarding — competitors ride on a snowboard and do tricks along as they descend snow covered slopes to earn maximum scores.
305,Freestyle Swimming — in these events competitors can swim using any stroke of their choice.
306,"Freestyle Wrestling — the objective is to pin down the opponent's shoulders on to the mat, the legs are allowed to be used."
307,Frescoball (see Matkot).
308,"Fricket — a ‘two-on-two’ flying disc game, also known as disc cricket, cups, suzy sticks and crispy wickets."
309,Frisian Handball — a traditional sport from the Netherlands in which players attempt to land a ball at the end of a long rectangular field.
310,Frontenis — a sport using rackets and a rubber ball on a ‘pelota court’.
311,"Fullbore target rifle — using rifles, shooters hit the paper targets in prone position."
312,"Fußball (also spelled Fussball) — this is the German name for (Association) Football, and also the name used for Table Football."
313,Futsal — a variant of association football played on a smaller field usually indoors.
314,Fuzzball — a street version of baseball played in some regions of the US.
315,Gaelic Football —a type of football from Ireland with a goal similar to that used in rugby but having a net attached below the crossbar. The object is to kick or punch the round ball into the net (three points) or over the crossbar (one point).
316,"Gaelic Handball — a wall based sport, played in Ireland, similar to squash though the ball is hit with the hand."
317,Gateball — a team sport played with a wooden mallet and wooden balls. Each player attempts to strike their allocated ball through all the gates and finally strike the goal pole.
318,"Giant Slalom — downhill skiers have to navigate through a fixed set of gates, spaced farther apart than in Slalom though not as much as in Super-G, therefore medium sized turns."
319,Gilli-Danda — a South Asian game played with two sticks; the long stick is used to strike the shorter one in the air.
