no,Nama Perusahaan,Grup,Alamat,Telepon 1,Telepon 2,Fax
46,"Atakana Company, PT", ,"Jl.Sabarudin No.9 C Medan, North Sumatera",061-740319,740478,021-740478
47,Ayu Sawit Lestari, , ,,, 
48,"Azarupindo Jaya Corporation, PT", ,"Jl.Ciledug Raya No.82 Kebayoran Lama, Jakarta Selatan",021- 7398325,7254650, 
49,"Bagus Sentosa gemilang, PT",Kaestindo,"Sudirman Tower,25th Floor,Jl.Jend.Sudirman Kav .60,Jakarta Selatan",021-5226877,5212345,(021)5226857
50,"Bahari Gembira Ria, PT",Salim," Central Plaza, 7th Floor, Jl.Jend.Sudirman Kav.47 Jakarta 12930",021-2521607,2521568,021-2524593
51,"Bahruny, PT",Bahrun,"Jl.Letkol Martinus Lubis,No.44 Medan,North Sumatra",061- 530689,534779,(061)534779
52,Bakrie Nusantara Plantation,Bakrie,"Wisma Bakri,6th FloorJl.H.R.Rasuna Kav.B-1 Jakarta Selatan",(021)5250192,5250212,(021)5200361
53,"Bakrie Pasaman Plantations, PT",Bakrie,"Wisma Bakrie Jl. H.R Rasuna Kav B-1 Kakarta 12920,Desa Buntut Kisaran      21202,North Sumatra",(021)5250192,5250212(06),(021)5200361
54,"Banda Aceh Sakti Jaya, PT", ,"Jl.Taman Setia Budi Indah Blok RR No.147 Medan, North Sumatera",061-800567,, 
55,"Bandar Sumatera Rubber, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-552043,,061-520908
56,"Bangun Jaya ALam Permai, PT",Benua Indah,"Jl.Tanjung Tembaga No.8. 2nd Floor Perak Barat Kembangan Surabaya,East      Java",(031)3292125,3294870,(031)3294875
57,"Bangun Maya Indah, PT", , Jl.Gunung Sahari Raya No.1 Blk A No.8-9 2nd Floor Jakarta Pusat,021- 6299650/53,,021- 6391761
58,"Bangun Nusa Indah Lampung, PT",Sungai Budi,"Wisma Budi 8-9th Floor, Jl.HR.Rasuna Said Kav.C-6, Jakarta 12940",021-5213383,,021-5213382
59,Bangun Tatalampung Asri,Sungai Budi,"Wisma Budi 8-9th Floor, Jl.HR.Rasuna Said Kav.C-6, Jakarta 12940",021-5213383,,021-5213382
60,Bantanan Ekajaya,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
61,"Batuna Negara, PT",Kaestindo,"Sudirman Tower,25th Floor,Jl.Jend.Sudirman Kav .60,Jakarta      Selatan",(021)5226877,5212345,(021)5226857
62,"Bengkulu Sawit Jaya, PT",Agro Manunggal,"Wisma Daya,5th floor Jl.Asemka No.21 Jakarta Barat",(021)6907346,6903748,(021)6903745
63,"Berkatmas Gitapersada, PT", ,"Jl.Tanah Abang III,No.26 G Jakarta Pusat",021- 3440906,3450638,021-3805037
64,"Bersama Sejahtera Sakti, PT",Salim," Central Plaza, 20th Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta      12930",021-5702288,,021-5702244
65,Beurata Maju, , ,,, 
66,Bhadra Cemerlang,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
67,Bhumireksa Nusa Sejati,Salim," Central Plaza, 7th Floor, Jl.Jend.Sudirman Kav.47 Jakarta 12930",021-2521607,2521568,021-2524593
68,"Bilah Plantindo,. PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-552043,,061-520908
69,"Bina Pitri Jaya, PT", ,"Jl.Nangka No.283 B Pekan Baru, Riau",0761-35219,23284,0761-35219
70,Bina Pratama Sekatojaya, ,"JL.P.Diponegoro No,7 Padang 25117 West Sumatera",,, 
71,"Bina Sains Corp, PT",Salim," Central Plaza, 19-21st Floor, Jl.Jend.Sudirman Kav.47 Jakarta 12930",021-5702288,,021-5702244
72,"Binanga Karya, PT",Tania Selatan,Jl.Tan Malaka No.88 ABC Medan North Sumatera,061- 538188,536338,061- 555248
73,Binasawit Abadi Pratama,Sinar Mas,"Wisma KODEL,4th Floor Jl.H.R Rasuna Said Kav.B-4 Jakarta 12920",021-5222306,,021-5222307
74,"Bintang Mahkota, PT", ,"Bima Sakti Plaza, Jl.Jend.Sudirman 143 Pekan Baru Riau",0761- 31633,34804, 
75,"Bintang Mahkota, PT", ,"Bima Sakti Plaza, Jl.Jend.Sudirman 143 Pekan Baru Riau",0761- 31633,34804, 
76,"Bintara Tani Nusantara, PT",Kodel,"Wisma KODEL, 11 th Floor, Jl.H.R.Rasuna Said Kav B-4, Jakarta      12920",021-5222225,,021- 5222225
77,"Bio Nusantara Teknologi Benkulu, PT",Fega,"Jl.Kebon Kacang Raya,No.1.Flat 4, 3rd Floor,Jakarta 10240",(021)3141208,336772,(021)337957
78,Blangkolam-Blangara, ,"Jl.Ir.H.Juanda No.53, Medan, North Sumatera",061- 327548,,061- 515586
79,Bohindomas Permai/Agra Indomas, , ,,, 
80,"Bontipermai Jayaraya, PT",Lyman,"Jl.Abdul Muis No.48-50, Jakarta Pusat",021-3800051,,021-3865725
81,"Borneo IndoSubur, PT",Indo Karya,"GAPURA MAS Building,5th floor.Jl Letjen. S.Parman Kav.91,Slipi,Jakarta      11420",(021)5668383,5667476,(021)5667642
82,"Boswa Megapolish, PT", ,Jl.Waringin No.2 Medan,061-529472,,061-525794
83,"Brohol Catur Lestari, PT", ," Jl.Orion No.25, Medan",061- 522238,,061- 522238
84,"Buana Wira Lestari, PT",Sinar Mas,"JITJ Perkebunan SINARMAS2, 5th Floor, Jl.Mangga Dua Raya Jakarta Utara",021- 60117996,,021- 6016181
85,"Buana Wirasubur Sakti, PT", ,"Jl.PupukTimur IV/88-A, Balikpapan, East Kalimantan",0542- 63188,,0542- 60388
86,"Budi Dwiyasa Perkasa, PT",Sungai Budi,"Wisma Budi 8-9th Floor, Jl.HR.Rasuna Said Kav.C-6, Jakarta 12940",021-5213383,,021-5213282
87,"Budidaya Agrolestari, PT",Benua Indah,"Jl.Gunung Sahari Raya,No.1 Blok A,No.8-9, 2nd Floor Jakarta Pusat",(021)6299650,,(021)6391761
88,Budinusa Ciptawahana,Sungai Budi,"Wisma Budi 8-9th Floor, Jl.HR.Rasuna Said Kav.C-6, Jakarta 12940",021-5213383,,021-5213382
89,Bukit Barisan Indah Prima, , ,,, 
90,Bukit Kautsar, , ,,, 
91,Bukit Safa, , ,,, 
92,"Buluh Cawang Plantation, PT",Tania Selatan,Jl.Basuki Rahmat No.788 Palembang 30127 South Sumetera,0711-811901,811921,0711-811585
93,Bulungan Sarana Utama,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
94,Bumi Flora II, ,"Jl.Gatot Subroto No.333, Medan",061-546404/5,,061-555528
95,Bumi Flora III, ,"Jl.Gatot Subroto No.333, Medan",061-546404/5,,061-555528
96,"Bumi Flora, PT", ,"Jl.Gatot Subroto No.333, Medan",061-546404/5,,061-555528
97,"Bumi Indo Kapuas, PT",Incasi Jaya,"Jl.Diponegoro,No.7, Padang 25117,West Sumatra",(0751)33142,33147,(0751)32597
98,Bumi Palma Lestari P/P.Sambu,Sinar Mas,"JITJ Building, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996/98,,021-6016181
99,Bumi Permai Lestari,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
100,"Bumi Permai Lestari, PT",Sinar Mas,"JITJ Perkebunan Sinar Mas II, 5th Floor, Jl.Mangga Dua Raya Jakarta Utara",021-6017996,,021-6016181
101,"Bumi Pratama Khatulistiwa, PT",Karya P Nelayan,"JL.M.T.Haryono,No.23 A,Pontianak,Kalimantan",(0561)31731,,(0561)31731
102,"Bumi Putra Surya Lestari, PT", ,Jl.KH.Zainul Arifin No.1 F Jakarta Pusat,021-3441066,, 
103,"Bumi Raya Investindo, PT",Bumi Raya,Jl.Raya Teluk Betung No.43 Jakarta Pusat,(021)3100238,3101189, 
104,"Bumi Sawindo Permai, PT",Asenda,"Kompleks ROXY MAS,Blok E-2 No.9- 11, JL.KH.Hasyim Ashari,Jakarta      Pusat",(021)3856525,,(021)3856520
105,"Bumi Sawit Permai, PT",Sinar Mas,JITJ Perkebunan Sinar Mas II,021-6017996,,021-6016181
106,Bumi Sentosa Abadi,Sungai Budi,"Wisma Budi 8-9th Floor, Jl.HR.Rasuna Said Kav.C-6, Jakarta 12940",021-5213383,,021-5213382
107,Bumi Warnatama Lestari, ,Jl.Biliton No.15 Jakarta Pusat,021-336578,3907816, 
108,"Bumipalma Lestari Persada, PT",Pulau Sambu,Jl.Rawa Bebek N0.14 Jakarta 14440,021-6690254,6690421,021-6690421
109,"Bumipermai Surya Lestari, PT",Sadin,Jl.KH.Zainul Arifin No.1 F Jakarta Pusat,021-6341375,6341018,021-6337987
110,Bumireksa Nusasejati,Salim," Central Plaza, 19-21st Floor, Jl.Jend.Sudirman Kav.47 Jakarta 12930",021-5702288,,021-5702244
111,Bunga Kemulyaan, ,Jl.Tomang Raya No.6,,, 
112,"Bunga Kemulyaan, PT",Batik Keris,Jl.Tomang Raya No.40.Jakarta 11440,(021)5666261,, 
113,"Cahaya Pelita Andika, PT",Guhara,"Kompleks SINAR Plaza, Blok G, No.13- 14,Jl Guru Patimpus,Medan 20111,North      Sumatra",(061)322849,321324,(061)3218200
114,"Cakradenta Agung Pertiwi, PT",Astra,"Jl. S. Parman Kav. 107, Jakarta",(021)5664687,, 
115,"Cakung Permata Nusa, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
116,"Calista Alam, PT", ,"Jl.Cycas II Blok UU, No.55 Taman Setia Budi Indah, Medan, North Sumatera",061- 800200,812380,021-812380
117,"Caraka Embun Permai, PT",Kaestindo,"Sudirman Tower,25th Floor,Jl.Jend.Sudirman Kav .60,Jakarta Selatan",(021)5226877,,(021)5226857
118,"Cemaru Lestari, PT",Pic,"Jl.Pembangunan I, No.3 Jakarta",021-3803803,,021-3803802
119,"Cemerlang Abadi, PT",Salim," Central Plaza, 3rd Floor, Jl.Jend.Sudirman Kav.47 Jakarta 12930",021-5255414,5255413,021-520748
120,"Cendrago Utama, PT",Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
121,"Cerenti Subur, PT", ,"Jl.Ir.H.Huanda III, No.29, Jakarta Pusat",021-385811,3458662, 
122,"Ceria Karya Pranawa, PT", ,"SELMIS Building 1st-3rd Floor, Jl.Asem Baris Raya Kav 15-16      No.52 Jakarta 12830",021- 8307607,,021-8307606
123,"Cibaliung Tunggal Plantation, PT",Salim," Central Plaza, 3rd Floor, Jl.Jend.Sudirman Kav.47 Jakarta 12930",021- 6702288,,021-5702244
124,"Ciliandra Perkasa, PT",Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman, Kav 28 Jakarta Selatan",021-5740888,,021-5740383
125,"Cinta Raja, PT", ,Jl.Palangkaraya Baru No.19 Medan,"061- 549989,544690",, 
126,Cipta Daya Sejati, , ,,, 
127,"Cipta Futura, PT", ,Jl.Mayor Ruslan No.4465 Palermbang South Sumatera,0711-311572,,0711-352715
128,Cipta Karya Murdaya,Berca,"Jl.Cikini Raya,No.78,Jakatrta 10330",(021)3141607,,(021)3143529
129,Cipta Narada Sejati,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
130,"Cisadane Sawit Raya, PT",Cisadane Raya,Jl.Kali Besar No.50.Jakarta Barat,(021)6266358,6906190-2,(021)6912569
131,Citrakoprasindotani,Metro,"Gedung Metro, 8th Floor, Jl.H.Samanhudi Pasar Baru, Jakarta Pusat",021-3448684,3843708,021-3843291
132,"Citramandiri Widyanusa, PT",Alatief,"Jl.Veteran,No.23,Padang,West Sumatra",(0751)28083,,(0751)21219
133,"Comismas Wanamaja Agro, PT", ," Manggala Wanabhakti 2nd Floor, Jl.Jend.Gatoto Subroto Jakarta Selatan",,, 
134,"Condong Garut, PT",Citra,"Jl.Wijaya I,No.9 AB,Kebayoran Baru , Jakarta Selatan",(021)7267619,7267620,(021)7267617
135,"Crownixindo Artara, PT", ,"Wijaya Grand Centre Blok E/20, Jl.Wijaya II Jakarta Selatan",021-7202902,7398958, 
136,"Damai Nusa Selawan, PT", ,"Jl.Iskandar Muda No.107, Medan, North Sumatera",061- 569144,556428,061- 569755
137,"Damar Siput, PT", ,JL.A.Yani No.102 B Ranto Prapat Labuhan Batu Sumatera Utara,061-571554,,061-511638
138,"Danuarta Bahagia, PT",Kaestindo,"Menara Imperium 16th floor.Jl. H.R. Rasuna Said,Kav.1.Jakarta 12980",(021)8354040,,(021)8354042
139,"Daria Dharma Pratama , PT",Daria Dharma,"Wisma Daria,J.Iskandarsyah Raya No.7,Kebayoran Baru Jakarta Selatan",,, 
140,Darmali Jaya Lestari,RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta",021-5707500,,021-5701771
141,"Dasa Anugerah Sejati, PT",RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta",021-8400934,,021-8413628
142,Daya Labuan Indah,Labuan,"Jl.Anyelis No.S-28, Cijantung, Jakarta Timur",,, 
143,"Delima Makmur, PT",Napan,"Gedung Bank EXIM, 3rd A Floor, Jl.Tanjung Karang No.3-4a Jakarta 10230",021-3913650/52,,021-3148370
144,"Desa Djaya, PT", ,"Alur Meranti Sungai Liput, Kejuruan Muda Aceh 24477",0641-31086,, 
145,"Dewi Anthika Bahari, PT",Kaestindo,"Menara Imperium 16th floor.Jl. H.R. Rasuna Said,Kav.1.Jakarta 12980",(021)8354040,,(021)8354043
146,"Deya Andharana Kurnia, PT", ,"Kompleks Perkantoran MAJAHIT PERMAI, Jl.Majaoahit 18-22 Blk      B No.111 Jakarta 10160",021-3810975/76,,021-3810975
147,"Dharma Wungu Guna, PT",Danayasa,"Gedung ARTHA GRAHA,6th Floor,Jl.Jend. Sudirman Kav.52-53,Jakarta      12190",(021)5152992,5152678,(021)5152344
148,Djuandasawit Lestari,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
149,"Duta Palma Nusantara, PT",Duta Palma,"Wisma GKBI,22nd floor, Jl.Jend Sudirman No.28,Jakarta",(021)2511747,2511743,(021)5741526
150,"Duta Sumber Nabati, PT",Benua Indah,"Jl.Gunung Sahari Raya,No.1 Blok A,No.8-9, 2nd Floor Jakarta Pusat",(021)6299650,6269680,(021)6391761
151,"Duta Swakarya Indah, PT",Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman, Kav 28 Jakarta Selatan",021-5740888,,021-5740383/8
152,"Dwi Reksa Usaha Perkasa, PT",Napan,"c/o PT.London Sumatera Indonesia, Jl.Veteran No.335/76 Palembang      South Sumatera",0711-367152,,0711-367153
153,"Dwi Suryani Bahtera , PT",Kaestindo,"Menara Imperium 16th floor.Jl. H.R. Rasuna Said,Kav.1.Jakarta 12980",(021)8354040,,(021)8354044
154,"Eastern Sumatera Indonesia, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-552043,,061-520908
155,"Egastuti Nagasakti, PT", ,"Jl.Tanjung Datuk No.81 Pekan Baru, Riau",0761-34942,25472,0761-34942
156,Eka Dura Indonesia I,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,4612686,(021)4616550
157,Eka Dura Indonesia II,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
158,"Eka Pendawa Sakti, PT", ,JL.A.Yani No.96 Ranto Prapat Labuhan Batu Sumatera Utara,061- 559988,553025,061- 553025
159,Eluan Mahkota, , ,,, 
160,"Eramitra Agrolestari, PT", ,"Jl.Gajah Mada No.61, Jambi",0741-20050,,0741-20195
161,"Fajar Agung Company, PT", ,"Jl.Gedung Arca, No.26-28, Medan North Sumatera",061- 746455,717114,061- 721832
162,"Fajar Baizuri & Brothers, PT", ,Jl.Berkah No 41 Jakarta 12860,021-8304763,,021-8309734
163,"First Mujur Plantations, PT", ,"Komplek SINAR Plaza Blk G No.13-14, Jl.Guru Patimpus Medan      20111, North Sumatera",061-322849,321324,061-321820
164,"Flora Surya Lestari, PT", ,Jl.MH.Thamrind No.128 A Medan North Sumatera,061-710200,7345729,061-719979
165,"Flora Wahana Tata I,II", , ,,, 
166,Forestlestari Dwikarya,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
167,Ganda Buaninda, , ,,, 
168,"Gandaerah Hendana, PT",Barito,"Wisma BARITO PACIFIC Tower B,4thFloor,Jl.S.Parman,Kav 62-63,Slipi      Jakarta 11410",(021)5358458,,(021)5304271
169,"Gatra Kembang Paseban, PT",Metro,"Gedung Metro, 8th Floor, Jl.H.Samanhudi Pasar Baru, Jakarta Pusat",021-3448684,,021-3843291
170,"Gawi Makmur Kalimantan, PT",Wings,"Jl.Tanah Abang II, No.2 Jakarta 10160",021- 5350538,,021- 3505381
171,Gelora Sawita Makmur,Ika Muda,"LENDMARK Centre,Tower A, 8th floor,Jl. Jend sudirman No.1 Jakarta      12910",(021)5712790,5712853,(021)5712716
172,"Gelora Sawita Sawut, PT",Hokindo,"HOKINDO Building, 5th floor .Jl.Mangga Dua raya,Block F1.No,Jakarta",(021)6011809,,(021)6015750
173,Gemareksa Mekarsari,Lyman,"Jl.Abdul Muis No.46, Jakarta",021-3861010,3846767, 
174,"Gemareksa Mekarsari, PT",Lyman,"Jl.Abdul Muis No.46, Jakarta 10160",021-3861010,3846767, 
175,"Gergas Utama, PT", ,Jl.Rachmadsyah No.140 DE Medan North Sumatera,061-712740,710876,061-710944
176,"Gersindo Minang Plantations, PT",Karya P Nelayan,"Jl.Samudera,No.26,Padang,West Sumatra",(0751)33435,33451,(0751)32484
177,"Graha Cakramulia, PT", ,Jl.Letjen Suprapto No.8 A-B Jakarta 10530,021- 4242605,,021- 4203012
178,"Grahadura Leidongprima, PT", ,Jl.Bilal Harmonis II No.11-15 Medan 20239 Norh Sumatera,061- 611534,612544,061- 612544
179,"Gunung Mas Raya, PT",Salim," Central      Plaza, 20- 21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021- 5702288,,021- 5702244
180,Gunung Melayu. PT,Salim," Central      Plaza, 21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-2526584,,021-2522269
181,"Gunung Sejahtera Dua Indah, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
182,"Gunung Sejahtera Ibu Pertiwi, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
183,"Gunung Sejahtera Puti Pesona, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
184,"Gunung Sejahtera Raman Permai, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
185,"Gunung Sejahtera Yoli Makmur, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
186,"Gunungsawit Bina Lestari, PT", ,"Jl.Raya Pagarawan Km8 Sungai Liat, Sumatera Selatan",,, 
187,"Guthrie Pecconina, PT",Guthrie,"Jl Bekasi Timur IV ,No.3-A,Jatinegara.Jakarta 13410",(021)8199739,8508434-5,(021)8503735
188,"Hamenisia, PT", ,"Manggala Wanabhakti Building 3rd Flroor, Room 304, Jl.Jend.Gatot      Subroto Jakarta 10270",021- 5703265 ext 5241,,021-5710437
189,"Harapan Hibrida Malabar, PT", ,Jl.Pahlawan No.41-42 A-D Pontianak West Kalimantan,,, 
190,"Hardaya Inti Plantations, PT",Berca,"Jl.Terusan Lembang.No.D 51- 53,Menteng,Jakarta Pusat",(021)3905751,3148505,(021)3908469
191,"Hari Sawit Jaya, PT",RGM,"BNI Building, 22nd Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701771
192,"Hasil Musi Lestari, PT Perkebunan",Barito,"Wisma BARITO PACIFIC Tower B,4th Floor,Jl.S.Parman,Kav 62-63,Jakarta      11410",(021)5707048,5707018,(021)5304271
193,"Hasjrat Cipta, PT", ,"Jl.Samanhudi No.15 Medan, North Sumatera",061-516076,53887,061-518611
194,Herfinta Farm & Plantation, ,"Jl.Jend.A.Yani No.103, Rantau Prapat, Labuhan Ratu, Sumatera utara",061-517032,, 
195,"Herfinta Farm & Plantation, PT", ,JL.A.Yani No.103 Ranto Prapat Labuhan Batu Sumatera Utara,061- 517032,, 
196,"Hindoli , PT",Cargill,"PANIN Bank Centre,5th Floor,JL.Jendral Sudirman,Senayan,Jakarta 10270",(021)7207003,,(021)7520234
197,"Hutahean, PT", ,Jl.Melur No.143 V,0761-22536,36276,0761-20232
