no,nama kawasan,provinsi,kabupaten
47,BSB Industrial Park,Jawa Tengah,"Kab. Semarang, Jawa Tengah"
48,Candi Industrial Estate,Jawa Tengah,"Kab. Semarang, Jawa Tengah"
49,Tanjung Emas Export Processing Zone,Jawa Tengah,"Kab. Semarang, Jawa Tengah"
50,Kawasan Industri Terboyo,Jawa Tengah,"Kab. Semarang, Jawa Tengah"
51,Kawasan Industri Wijayakusuma,Jawa Tengah,"Kota Semarang, Jawa Tengah"
52,Pasuruan Industrial Estate Rembang,Jawa Timur,"Kab. Pasuruan, Jawa Timur"
53,Executive Industrial Park III,(belum diset),(belum diset)
54,Maspion Industrial Estate,Jawa Timur,"Kab. Gresik, Jawa Timur"
55,Kawasan Industri Gresik,Jawa Timur,"Kab. Gresik, Jawa Timur"
56,Ngoro Industrial Park,Jawa Timur,"Kab. Mojokerto, Jawa Timur"
57,Kawasan Industri Dumai,Riau,"Kota Dumai, Riau"
58,Kawasan Industri Tanjung Buton,(belum diset),(belum diset)
59,Kawasan Industri Surya Borneo,Kalimantan Tengah,Kotawaringin Barat
60,Jakarta Industrial Estate Pulogadung,DKI Jakarta,"Kota Administrasi Jakarta Timur, DKI Jakarta"
61,Kaltim Industrial Estate,Kalimantan Timur,"Kab. Kutai Kartanegara, Kalimantan Timur"
62,Kawasan Industri Makassar,Sulawesi Selatan,"Kota Makassar, Sulawesi Selatan"
63,Indonesia Morowali Industrial Park,Sulawesi Tengah,Morowali
64,Westpoint Maritime Industrial Park,(belum diset),(belum diset)
65,Megacipta Industrial Park,(belum diset),(belum diset)
66,Tunas Industrial Estate,Kepulauan Riau,"Kota Batam, Kepulauan Riau"
67,Kawasan Industri Kawasan Berikat Nusantara,DKI Jakarta,"Kota Administrasi Jakarta Utara, DKI Jakarta"
68,Kawasan Industri Piyungan Creative Economy Park,DI Yogyakarta,"Kab. Bantul, DI Yogyakarta"
69,MM2100 Industrial Town,Jawa Barat,"Kota Bekasi, Jawa Barat"
70,Executive Industrial Park I,Kepulauan Riau,"Kota Batam, Kepulauan Riau"
71,Kawasan Industri Palu,Sulawesi Tengah,0
72,Bintang Industrial Park II,Kepulauan Riau,"Kota Batam, Kepulauan Riau"
73,Cammo Industrial Park,(belum diset),(belum diset)
74,Citra Buana Centre Park 1,(belum diset),(belum diset)
75,Union Industrial Park,Kepulauan Riau,"Kota Batam, Kepulauan Riau"
76,Puri Industrial Park 2000,Kepulauan Riau,"Kota Batam, Kepulauan Riau"
77,Kawasan Industri Batamindo,(belum diset),(belum diset)
78,Indah Industrial Park,Jawa Barat,"Kab. Purwakarta, Jawa Barat"
79,Kara Industrial Park,(belum diset),(belum diset)
80,Kabil Integrated Industrial Park,Kepulauan Riau,"Kota Batam, Kepulauan Riau"
81,Citra Buana Centre Park 2,(belum diset),(belum diset)
82,Citra Buana Centre Park 3,(belum diset),(belum diset)
83,Kawasan Industri Mandor,Kalimantan Barat,Landak
84,Kawasan Industri Batulicin,Kalimantan Selatan,Tanah Bumbu
85,Kawasan Industri Katibung,Lampung,Lampung Selatan
86,Bintan Inti Industrial Estate,Kepulauan Riau,"Kab. Bintan, Kepulauan Riau"
87,Kawasan Industri Lampung,Lampung,"Kota Bandar Lampung, Lampung"
88,Medanstar Industrial Estate,Banten,"Kab. Deli Serdang, Sumatera Utara"
89,Kawasan Industri Medan,Banten,"Kab. Deli Serdang, Sumatera Utara"
90,Kawasan Industri Sei Mangkei,Sumatera Utara,"Kab. Simalungun, Sumatera Utara"
91,Kawasan Industri Suge,Kepulauan Bangka Belitung,"Desa Pegantungan,Kab. Belitung, Kepulauan Bangka *"
92,Padang Industrial Park,Sumatera Barat,"Kota Padang, Sumatera Barat"
93,Kawasan Industri Konawe,Sulawesi Tenggara,Konawe
94,Kawasan Industri Bantaeng,Sulawesi Selatan,Bantaeng
95,Kawasan Industri Wilmar,Banten,"Kab. Serang, Banten"
96,Kawasan Industri Ketapang,Kalimantan Barat,Ketapang
97,Kawasan Industri Buli,Maluku Utara,Halmahera Timur
98,Kawasan Industri Jorong,Kalimantan Selatan,Tanah Laut
99,Kawasan Industri Teluk Bintuni,Papua Barat,Teluk Bintuni
100,KIPI Tanah Kuning,Kalimantan Utara,Bulungan
101,(belum diset),(belum diset),(belum diset)
102,Kawasan Industri Tanggamus,(belum diset),(belum diset)
103,Kawasan Industri Kuala Tanjung,(belum diset),(belum diset)
104,Kawasan Industri Ladong,Aceh,Aceh Besar
105,Kawasan Industri Tenayan,Riau,Pekanbaru
106,Kawasan Industri Sumbawa Barat,NTB,Sumbawa Barat
107,Kawasan Industri Teluk Weda,Maluku Utara,Halmahera Tengah
108,Kawasan Industri Brebes,Jawa Tengah,Brebes
109,Kawasan Industri Tanjung Enim,Sumatera Selatan,Muara Enim
110,Kawasan Industri Kemingking,Jambi,Muaro Jambi
111,Kawasan Industri Sadai,Bangka Belitung,Bangka Selatan
112,Kawasan Industri Takalar,Sulawesi Selatan,Takalar
113,Kawasan Industri Madura,Jawa Timur,Bangkalan
114,Kawasan Industri Batanjung,Kalimantan Tengah,Kapuas
