no,member id,logo,brand name,company name,principal and vice,address,email
12,0001.000802.A,https://arebijatim.org/files/0001.000802.A-brighton2.jpg,BRIGHTON REAL ESTATE,PT. YOBELINDO GRAHA MANDIRI,Widjaja Santoso,"Spazio Office Building Unit 218
Komplek Graha Festival Kav.3 Jl. Mayjend Yono Soewoyo Surabaya
Telp : 99000935",relation@brighton.co.id
13,0001.000886.A,https://arebijatim.org/files/0001.000886.A-RaywhiteLogoVer2-02 hitam.png,RAY WHITE JEMURSARI,PT. GOLDEN RAY PROPECTUS,Tan Padang Sugiarto,"Jl. Raya Jemursari 317, Surabaya
Telp : 8498686",raywhite.jemursari@gmail.com
14,0001.000832.A,https://arebijatim.org/files/0001.000832.A-xm hr muhammad.jpg,XAVIER MARKS HR MUHAMMAD,PT. SURYA BANGUN JAYA ABADI,Suryadinata,"Jl. HR. Muhammad No.41, Surabaya",info.xmhrmuhammad@gmail.com
15,0001.000884.A,https://arebijatim.org/files/0001.000884.A-duta.jpg,DUTA PROPERTY LAND,PT. DUTA PROPERTY LAND,Andy Steven Liono,"Jl. Undaan Wetan No. 56, Surabaya
Telp : 547000",dutaproperty@ymail.com
16,0001.000803.A,https://arebijatim.org/files/0001.000803.A-casa.jpg,CASA PROPERTY,PT. CASA MITRA ANUGERAH SEJAHTERA,"Mery Christian, ST","Jl Jemur Andayani 7 No 14 Surabaya 60237
Telp : 031 8415120",property.casa@yahoo.com
17,0001.000833.A,https://arebijatim.org/files/0001.000833.A-cbcc.jpg,COLDWELL BANKER COMMERCIAL CAPITAL,PT. CB CAPITAL,Riza Indrawan Wibowo,"Jl. Ahmad Yani  288, Surabaya
Telp : 8275888/58251333/8273888",martinarief21@gmail.com
18,0001.000870.A,https://arebijatim.org/files/0001.000870.A-inmax premiere2.jpg,INMAX PREMIERE,PT. INMAKSINDO PRIMA GRAHA,Danny Tjahyadi,"Jl. Galunggung 61 A, Malang
Telp : 0341 – 553500",inmaxproperty@gmail.com
19,0001.000851.A,https://arebijatim.org/files/0001.000851.A-infinity.png,INFINITI PROPERTY,PT. INFINITI JAYA INDONESIA,YAP CHIEW LIANG (Andrew Jap),Puncak CBD Ruko 6 F Mall RT.003 RW.004 Kel. Jajar Tunggal Kec. Wiyung Surabaya,andrew@infinitiproperty.com
20,0001.000873.A,https://arebijatim.org/files/0001.000873.A-XM Epicentrum.jpeg,XAVIER MARKS EPICENTRUM,PT. JAYA SENTOSA PROPERTINDO,Ferry Wijaya,"Jl. Raya Mulyosari Ruko Central Park blok AB No.2 – Surabaya 
Telp : 5961055",info.xmepicentrum@gmail.com
21,0001.000834.A,https://arebijatim.org/files/0001.000834.A-XM Tjandra Patos.png,XAVIER MARKS TJANDRA PATOS,PT. FERRANO PROPERTI PERSADA,Larasati Aghata,"Ruko Pakuwon City AA2 – 33
Surabaya
Telp : 58201234",info.xmtjandrapatos@gmail.com
22,0001.000895.A,https://arebijatim.org/files/0001.000895.A-era ventura2.jpg,ERA VENTURA,PT. VENTURA INVESTA PLATINUM,Surianti,"Jl. Terusan Kawi No. 8 C
Malang, 65115
Telp : 0341-578857",info@eraventura.com
23,0001.000891.A,https://arebijatim.org/files/0001.000891.A-De mitr2a.jpg,DE MITRA,CV. TRIFA USAHA SUKSES,"Farahdina Andriani, SM dan Ahmad Jakfar, SE., MM","Jl. Surakarta No.12 GKB Manyar, Gresik 
Telp : 031-3954312/28883008",de.mitraproperty@gmail.com
24,0001.000898.A,https://arebijatim.org/files/0001.000898.A-winston central.jpeg,WINSTON CENTRAL,PT. BINTANG JAYA PROPERTINDO,Endra Kristanto,"One East Penthouse & Residence
Jl. Raya Kertajaya Indah No.79, Kertajaya Indah Timur, Kec. Mulyorejo, Kota Surabaya
Telp. 031 - 600 10 611",winston.central14@gmail.com
25,0001.000857.A,https://arebijatim.org/files/0001.000857.A-winston prima.jpg,WINSTON PRIMA,PT. PRIMA SUKSES PROPERTINDO,Timotyus Tjandra,"Jl. Raya Bukit Darmo No. 11, Surabaya
Telp. : 7322300",winstonprima@gmail.com
26,0001.000804.A,https://arebijatim.org/files/0001.000804.A-max capital.jpg,MAX CAPITAL,PT. SINAR GLOBAL MAS,Lie Diana Lissan,"Komplek Ruko Surya Inti Permata 2/C 16-17
Jl. HR Muhammad, Surabaya
Telp. : 7316023",capital_max@yahoo.co.id
27,0001.000921.A,https://arebijatim.org/files/0001.000921.A-winston premier2.jpg,WINSTON PREMIER,PT. DHARMA DUA PILAR,Dendy Wibisono,"Ruko Pasar Modern No. 33 Lantai 3, Surabaya
Telp : 031-99001009",winston.premier.sby@gmail.com
28,0001.000806.A,https://arebijatim.org/files/0001.000806.A-WINSTON ONEb.jpg,WINSTON ONE,PT. SATU SETIA JAYA,Piter Tampang,"Ruko Icon 21 Blok S – 17
Jl. Dr. Ir. H. Soekarno Merr, Surabaya
Telp. : 99005099",winston1.sby@gmail.com
29,0001.000858.A,https://arebijatim.org/files/0001.000858.A-MANSION3.jpg,MANSION PROPERTY,CV. MANSION PROPERTY,Robertus Sutanto,"Ruko Taman Gapura Blok H18, Surabaya
Telp. : 51160260",mansioncitraland@gmail.com
30,0001.000889.A,https://arebijatim.org/files/0001.000889.A-mvp.jpg,MVP REALTY,PT. BERKAT BERSAMA PROPERTI,Dicky Irawan,"Jl. Raya Klampis Jaya A-31, Surabaya
Telp. : 5912626",adm.mvprealty@gmail.com
31,0001.000859.A,https://arebijatim.org/files/0001.000859.A-logo kantor.png,FREDDY PROPERTY INDONESIA,CV. FREDDY PROPERTY INDONESIA,Freddy Sutanto,"Jl. Mulyosari No. 91, Surabaya
Telp : 5956088",office@freddyproperty.com
32,0001.000909.A,https://arebijatim.org/files/0001.000909.A-eden.jpg,EDEN PROPERTY,PT. EDEN PROPERTI INDONESIA,Slamet,"Mangga Dua B2 No. 3-5 Jagir Wonokromo, Surabaya
Telp. 8471769 / 8471768",edenproperti@yahoo.com
33,0001.000865.A,https://arebijatim.org/files/0001.000865.A-pillar2.jpg,PILLAR PROPERTY,PT. PILLAR NUSA PROPERTINDO,Jimmy Wardono,"Jl. Raya Panjang Jiwo Permai, Blok AF No.02 Panjang Jiwo Kec. Tenggilis Mejoyo Surabaya
Telp. : 087855404672",pillar.propertindo@gmail.com
34,0001.000836.A,https://arebijatim.org/files/0001.000836.A-indolion.jpg,INDOLION PROPERTY,PT. SUKSES INTI PROPERTINDO,Lion Susanto,"Jl. Manyar Kertoarjo 13 No. 11, Surabaya
Telp : 5924259",admsby.indolionproperty@gmail.com
35,0001.000837.A,https://arebijatim.org/files/0001.000837.A-jpro citraland2.jpg,JAVA PROPERTY CITRALAND,PT. JAVA ABADI SEJAHTERA,Rudy Sutanto,"Ruko Sentra Taman Puspa Raya Blok B-14 Citraland, Surabaya
Telp : 031 99160024 / 031 99161100",javaproperty.adm@gmail.com
36,0001.000838.A,https://arebijatim.org/files/0001.000838.A-axell2.jpg,AXELL INDONESIA,PT. GRAHA SAPTARANGI INDONESIA,Elvan Febrianto,"Pakuwon Centre 23rd Floor - Unit 2363 Jl. Embong Malang, Surabaya
Telp. : 031-6000 3125",axellindonesia@gmail.com
37,0001.000808.A,https://arebijatim.org/files/0001.000808.A-remax.jpg,RE/MAX EAGLE,PT. BUANA JAYA MAPAN,Budiono Yuwono,"Ruko Sentra Internasional C-18 Citraland, Surabaya
Telp : 031 7421736",eagle@remax.co.id
38,0001.000893.A,https://arebijatim.org/files/0001.000893.A-logo Citraland Boulevard.png,XAVIER MARKS CITRALAND BOULEVARD,PT. VIVO INDOCITRA PROPERTI,Vonny Wibisono,"Ruko Sentra Niaga Utama H-9
Citraland (sebelum club house), Surabaya
Telp. : 99019900",Info.xmcb@gmail.com
39,0001.000883.A,https://arebijatim.org/files/0001.000883.A-RaywhiteLogoVer2-02 hitam.png,RAY WHITE CITRALAND,PT. SUKSES BERSAMA PROPERTI,Triyogo Wahyu Irawan,"Taman Gapura J-6 G Walk Citraland – Surabaya (60217)
Telp : 031 99160099",raywhitecitraland@gmail.com
40,0001.000860.A,https://arebijatim.org/files/0001.000860.A-RaywhiteLogoVer2-02 hitam.png,RAY WHITE JUANDA,PT. GRHA BHUMI UTAMA,Adrian Lesmana,"Ruko Palm Square TF-48, Pondok Candra Indah – Sidoarjo
Telp : 031 8662020",office@rwjuanda.com
41,0001.000839.A,https://arebijatim.org/files/0001.000839.A-nt.jpg,GALAXY KARTINI,PT. KARUNIA GRAHA GEMILANG,Agustinus Soedjono Kosasih,"Jl. Kartini No. 17, Surabaya
Telp. : 031 568 9222",galaxykartini.sby@gmail.com
42,0001.000809.A,https://arebijatim.org/files/0001.000809.A-my property.jpg,MY PROPERTY,PT. MENUJU BERKAT BERSAMA,Gerry Jonathan,"Ruko San Antonio N1-101 Pakuwon City, Surabaya
Telp.: 031 9901 2334",mypropertysby@gmail.com
43,0001.000840.A,https://arebijatim.org/files/0001.000840.A-xm merr.jpg,XAVIER MARKS MERR,PT. MITRA BERSAMA SEJAHTERA,Setyo Hartono,"Jl. Dr. Ir. H. Soekarno, 
Ruko Icon 21 Blok S-20 Surabaya Telp : 99005010",Info.xmmerr@gmail.com
44,0001.000810.A,https://arebijatim.org/files/0001.000810.A-a&a.jpg,A & A VISION,CV. A & A PROPERTY,Soewito Gunawan,"Jl. Darmo Permai Timur 19 V, Surabaya
Telp : 031 734 8484",property@aindonesia.com
45,0001.000841.A,https://arebijatim.org/files/0001.000841.A-magnum.jpg,MAGNUM PROPERTY,PT. MAGNUM PANCA ABADI,Farhad Ahmad Alatas,Mulyosari Utara 2 no 47 Surabaya,magnum_property@yahoo.com
46,0001.000842.A,https://arebijatim.org/files/0001.000842.A-XM Citraland.png,XAVIER MARKS CITRALAND,PT. MAKMUR BERSAMA PROPERTI,Jonas Angkawidjaja,"Ruko Taman Gapura F-6 G Walk
Citraland, Surabaya
Telp : 031 742 2332",Info.xmcitraland1@gmail.com
47,0001.000874.A,https://arebijatim.org/files/0001.000874.A-ray white..jpg,RAY WHITE ROYAL RESIDENCE,PT. SINAR PROPERTI INDONESIA,Daniel Lianto,"Royal Residence BS 15 – 15 C, Surabaya
Telp : 08123580690",admofficerwroyal01@gmail.com
48,0001.000878.A,https://arebijatim.org/files/0001.000878.A-0001.000878.A-polaris.jpg,POLARIS PROPERTY,PT. POLARIS PRIMA PROPERTINDO,Meike Binsneyder,"Jl. Semampir No.49 C Medokan Semampir, Sukolilo Surabaya
Telp. : 031 593 8787",polaris.properti@gmail.com
49,0001.000887.A,https://arebijatim.org/files/0001.000887.A-logo Tjandra Grande.png,XAVIER MARKS TJANDRA GRANDE,PT. CAHAYA ABADI REALTI,Audrey Ariani & Richard Hartono S,"Jl. Ngagel Jaya Tengah I No. 14, Surabaya
Telp : 031 99005599",info.xmtjandragrande@gmail.com
50,0001.000812.A,https://arebijatim.org/files/0001.000812.A-Propnex Boulevard2.jpg,PROPNEX BOULEVARD,PT. BINA MANDIRI PROPERTINDO,Erict Kurniawan,"Jl. Raya Babatan Unesa 102 Surabaya
Telp : 031 7536177",propnexboulevard@gmail.com
51,0001.000814.A,https://arebijatim.org/files/0001.000814.A-excellence pro.jpg,EXCELLENCE PROPERTY,PT. JAYA DAGANG SENTOSA,Melia Margaretha,"Pergudangan Suri Mulia Permai Blok EE 8, Margomulyo, Surabaya
Telp : 031 7492218",Excellenceproperty88@gmail.com
52,0001.000843.A,https://arebijatim.org/files/0001.000843.A-INMAX Harmony2.jpg,INMAX HARMONY,PT. HARMONI MITRA GRAHA,Arie Siswanto,"Jl. WR Supratman C1 Kav 6, Malang
Telp : 0341 363003",inmaxharmony@gmail.com
53,0001.000816.A,https://arebijatim.org/files/0001.000816.A-vista.jpg,VISTA PROPERTY,PT. VISTA GRAHA ABADI,Sylvia Dian Kumala,"Ruko Educity Harvard 02 Pakuwon City
Dibawah Apartemen Educity
Jl Kalisari Selatan 1 no 1A Surabaya
Telp : 031 59174948",vistapropertysurabaya@gmail.com
54,0001.000844.A,https://arebijatim.org/files/0001.000844.A-SIP Victory-02.jpg,SIP VICTORY,PT. SIP GRAHA KEMENANGAN,Rudy Julianto,"Jl. Ngagel Jaya Selatan, Ruko RMI Blok J-10 Bratang Binangun, Surabaya
Telp : 031 99442277",office.sipvictory@gmail.com
55,0001.000890.A,https://arebijatim.org/files/0001.000890.A-123 Property2.jpg,123 PROPERTY,CV. ROLAND JAYA PERDANA,Hari Nugroho,"Jl. Raya Tenggilis Mejoyo Ai 33-34 Surabaya (Pujasera Mas Bro)
Telp : 082123100123",kantor123property@gmail.com
56,0001.000910.A,https://arebijatim.org/files/0001.000910.A-u-nit2.jpg,U-NIT RENTAL APT,PT. BINTANG SARANA GRAHA,Lieny Gunawan,"Tokan Waterplace C-5, Surabaya
Telp : 031 7393240",lienymoss81@yahoo.co.id
57,0001.000031.A,https://arebijatim.org/files/0001.000031.A-XM Indonesia2.jpg,XAVIER MARKS INDONESIA,PT. XAVIER MARKS INDONESIA,Daniel Sunyoto,"Jl. Darmo Kali 3-5 Surabaya
Telp : 031 5625111",xaviermarks.id@gmail.com
58,0001.000819.A,https://arebijatim.org/files/0001.000819.A-RW JEMBER2.jpg,RAY WHITE JEMBER,PT. BINTANG GRAHA JEMBER,Adnan Mochammad,"Perumahan Gunung Batu Blok C-6, Jember
Telp : 0331 4431488",raywhitejember@gmail.com
59,0001.000821.A,https://arebijatim.org/files/0001.000821.A-logo Mayjen.png,XAVIER MARKS MAYJEN,PT. XAVIER MARKS KENCANA,Lina Cioko,"Komp. Ruko Rich Palace R-19,
Jl. Mayjend Sungkono 149-151
Surabaya
Telp 031 562 5577 / 031 566 3665",info.xmmayjen@gmail.com
60,0001.000845.A,https://arebijatim.org/files/0001.000845.A-maxima2.jpg,MAXIMA,PT. MAXIMA MARKETING SERVICE INDONESIA,Rachmat Suhendra & Rena Nirmala Sari (Vice),"Ruko Boulevard no. 8 kahuripan nirwana Sidoarjo
Telp. 031 9970 5999 / 031 9970 5777",maxima.lisence@gmail.com
61,0001.000822.A,https://arebijatim.org/files/0001.000822.A-XM North Citraland.png,XAVIER MARKS NORTH CITRALAND,CV. SURYA ANUGERAH INVESTINDO,Surya Prasidha,"Ruko Sentra Taman Puspa Raya 
B-8 Citraland, Surabaya.
Telp : 031 5116 0101",info.xmnorthcitraland1@gmail.com
62,0001.000846.A,https://arebijatim.org/files/0001.000846.A-XM Tjandra Nyoto.png,XAVIER MARKS TJANDRA NYOTO,PT. PUTERA TJANDRA NYATA,Herawati,"Dharmahusada Indah Timur M-195 Surabaya
Telp : 03159171888 / 031 59172343",info.xmtjandranyoto@gmail.com
63,0001.000904.A,https://arebijatim.org/files/0001.000904.A-logo Pondok Tjandra.png,XAVIER MARKS PONDOK TJANDRA,PT. XMARKS GRAHA ANUGRAH,Rudy Hartono,"Raya Taman Asri No. 44, Pondok Tjandra – Sidoarjo 
Telp : 031-8672889",info.xmpondoktjandra@gmail.com
64,0001.000916.A,https://arebijatim.org/files/0001.000916.A-px malang cbd2.jpg,PROPNEX MALANG CBD,PT. SKYE PROPERTINDO INDONESIA,Hendri Liem,"Jl. Dieng No.27 C
Kel. Bareng, Kec. Klojen, Malang
0341 5029134",propnexmalang.adm@gmail.com
65,0001.000863.A,https://arebijatim.org/files/0001.000863.A-logo Vision.png,XAVIER MARKS VISION,PT. VISI MITRA REALTI,Diana Amanda Kusuma,"Ruko Puncak CBD Blok 8A-APT
Jl. Keramat I, Kel. Jajar Tunggal, Kec. Wiyung, Surabaya
Telp. 081333889081",info.xmvision@gmail.com
66,0001.000825.A,https://arebijatim.org/files/0001.000825.A-era indo.jpg,ERA INDONESIA,PT. ERA GRAHA REALTY,Yafet Kristanto,"Kertajaya Indah Timur XVII No.49 Surabaya
Telp : 031 - 594 0987",eraindonesia@yahoo.co.id
67,0001.000848.A,https://arebijatim.org/files/0001.000848.A-XM Dian Istana.png,XAVIER MARKS DIAN ISTANA,PT. XMARKS DIAN ANUGRAH,Grace Elisabeth Manopo,"Komplek Club House Dian Istana, Surabaya
031-99016535",info.xmdianistana@gmail.com
68,0001.000861.A,https://arebijatim.org/files/0001.000861.A-XM Gallery.png,XAVIER MARKS GALLERY,PT. XMARKS MARVELL GALLERY,Johanes,"Marvell City blok G-28 
Jl. Ngagel 123, Surabaya
031 – 99444232",info.xmgallery@gmail.com
69,0001.000849.A,https://arebijatim.org/files/0001.000849.A-LOGO 1(1).png,XAVIER MARKS MAXIME,PT. HAWILA INDOPROPERTI SEJAHTERA,Andreas Tandiono,"APARTEMEN & SOHO CORNELL LT 3 UNIT 3.88 Citraland Surabaya
Telp. 0823 3164 7778",info.xmmaxime@gmail.com
70,0001.000917.A,https://arebijatim.org/files/0001.000917.A-winmax.jpg,WINMAX,PT. WINMAX INVESTAMA PROPERTINDO,Budiono Wisanto,"Ruko Villa Bukit Mas RA 14 Surabaya
Telp.  031-99542610 / 031-99542178",winmax.property@gmail.com
71,0001.000866.A,https://arebijatim.org/files/0001.000866.A-galaxy zeven.jpg,GALAXY ZEVEN,PT. TUJUH LUMBUNG KELIMPAHAN,Yulia Tenoyo,"Tokan Yale 01, Educity Residence, Surabaya
Telp. 081277775910",Zeven@galaxyproperty.co.id
72,0001.000815.A,https://arebijatim.org/files/0001.000815.A-domus2.jpg,DOMUS,PT. DWI MEGAH JAYA KARUNIA,Widjaya Slamet,"Purimas Legian H5 No.8, Surabaya
Telp. 031 - 8781988",domus.indonesia@gmail.com
73,0001.000911.A,https://arebijatim.org/files/0001.000911.A-stern.jpg,STERN PROPERTY,PT. DIPO MANDIRI INDONESIA,Yongky Yanuar,"Jl. Kupang Jaya V No.2D, Sonokwijenan, Kec. Sukomanunggal, Kota SBY 60189
Telp. 0851-0244-9990",sternindonesia@gmail.com
74,0001.00900.A,https://arebijatim.org/files/0001.00900.A-xm priority.jpg,XAVIER MARKS PRIORITY,PT. PRIORITAS SUKSES BERSAMA,Go Caesar Teguh Santoso,"Skyloft SOHO unit 1598, Ciputra World, Jl. Mayjen Sungkono 87-89 Surabaya
Telp. 031 - 99533888",xmarks.priority@gmail.com
75,0001.000862.A,https://arebijatim.org/files/0001.000862.A-RaywhiteLogoVer2-02 hitam.png,RAY WHITE DIENG MALANG,PT. SURYA TIRTA PERSADA,Silvia Soenarjo,"Jl. Kurinci 17 Malang
Telp. 0341 - 557878",rwdieng@gmail.com
76,0001.000877.A,https://arebijatim.org/files/0001.000877.A-Px vision.jpg,PROPNEX PAKUWON CITY,PT. PROPERTI MAJU SENTOSA,Santoso Susanto,"Ruko San Diego MR 2 - 18 Kav 99 Surabaya
Telp. 085100014333",propnexpakuwoncity@gmail.com
77,0001.000903.A,https://arebijatim.org/files/0001.000903.A-u pro indo.jpg,U PROPERTY INDONESIA,PT. UNGGUL UTAMA PROPERTINDO,Wartini Surya,"Ruko Villa Taman Telaga TJ 1/35 E, Jl. Telaga Golf Citraland, Surabaya
Telp. 031 – 99148820",holding@upropertyindonesia.com
78,0001.000913.A,https://arebijatim.org/files/0001.000913.A-Propnex Sutomo2.jpg,PROPNEX HQ,PT. TRIUTAMA MANDIRI PROPERTINDO,Luckyanto & Eny Wikarsa,"Jl. Raya Babatan Unesa 102 Surabaya
Telp. 031 – 5685577 / 082140570498",fa.propnexsutomo@gmail.com
79,0001.000872.A,https://arebijatim.org/files/0001.000872.A-yobel.jpg,YOBEL PROPERTY,PT. YOBEL OMEGA NUSA,Yonathan Suhardono,"Jl. Raya Tenggilis Mejoyo AA No.16 Surabaya
Telp. 031 – 8412890",yonathansuhardono@yahoo.com
80,0001.000905.A,https://arebijatim.org/files/0001.000905.A-xm diponegoro.jpg,XAVIER MARKS DIPONEGORO,PT. GRIYA TULUS CITRA,Vincentius Soedjianto Soegondo,"Jl. Diponegoro No.48D Surabaya
Telp. 031 – 99533599",info.xmdipo@gmail.com
81,0001.000867.A,https://arebijatim.org/files/0001.000867.A-logo Graha.png,XAVIER MARKS GRAHA,PT. GRAHA MULYO PROPERTINDO,Laurentius Jerry Prayogo Noer,"Komplek Ruko Plaza Graha Family Blok B-21A Surabaya
Telp. 031 - 7348855",info.xmgraha@gmail.com
82,0001.000875.A,https://arebijatim.org/files/0001.000875.A-the edge.jpg,THE EDGE,PT. DUTA KASIH PERSADA,Teddy Gunawan,"Jl. Bubutan No.8, Alun-alun contong, Kec. Bubutan, Surabaya
Telp. 0822 7322 9000",dutakppt@gmail.com
83,0001.000892.A,https://arebijatim.org/files/0001.000892.A-bosse.jpg,BOSSE PROPERTY,PT. BERLIAN GEMILANG SUKSES,Ade Dina Rachmawati,"Ruko 21 Klampis Blok B 11 Surabaya
Telp. 081233314293",bossepropertysby@gmail.com
84,0001.000906.A,https://arebijatim.org/files/0001.000906.A-px dhi.jpg,PROPNEX DHARMAHUSADA,PT. TRIAJI MEGAH PROPERTINDO,Bong Ing Ing & Wiwik Widjojo,"Jl. Dharmahusada Indah II D-50 Surabaya
Telp. 031 - 5998382",dhi.propnex@gmail.com
85,0001.000899.A,https://arebijatim.org/files/0001.000899.A-maranata.jpg,MARANATA,CV. MARANATA,Teddy Maranata,"Jl. Raya Bambe km.18, Ruko Sentra Pergudangan Bambe, Blok R No.3 Driyorejo Gresik
Telp. 082233150123",maranata.surabaya@gmail.com
86,0001.000894.A,https://arebijatim.org/files/0001.000894.A-xm pakuwon city.jpg,XAVIER MARKS PAKUWON CITY,PT. DELAPAN BERKAT BERSAMA,Frederick Suryo Prayogo,"Ruko San Diego MR 2/21-105 Surabaya
Telp. 082190110789",info.xmpakuwoncity@gmail.com
87,0001.000919.A,https://arebijatim.org/files/0001.000919.A-harcourts section one.jpg,HARCOURTS SECTION ONE,PT. CITRA SELARAS INDONESIA,Sugianuraini,"Ruko Section One Blok A3, Jl. Rungkut Industri Raya 1 Surabaya
Telp. 031 - 99852870",citra.selaras.int@gmail.com
88,0001.000907.A,https://arebijatim.org/files/0001.000907.A-XM Harvest2.png,XAVIER MARKS HARVEST,PT. GRAHA UTAMA SOLUSINDO,Benny Soegianto,"Jl. Raya Jemursari No.76 Blok B-5 Surabaya
Telp. 031 - 99843737",info.xmharvest@gmail.com
89,0001.000914.A,https://arebijatim.org/files/0001.000914.A-cosmo.jpg,COSMO REAL ESTATE,PT. RUMAH DIGITAL PROPERTI,Richard Sudibyo,"Jl. Mayjend Sungkono, Darmo Park II Blok V No.9 Surabaya
Telp. 031 – 5686676",richardsudibyo@cmre.co.id
90,0001.000902.A,https://arebijatim.org/files/0001.000902.A-Logo Pioneer.png,PION’R BDG PROPERTY,PT. GRAHA LANGGENG OETAMA,"Karnelia Ailin, Liem","Ruko Bukit Darmo Golf No.1B Jl. Bukit Darmo Golf Surabaya
Telp. 031 – 99025577",pionr.bdgproperty@gmail.com
91,0001.000920.A,https://arebijatim.org/files/0001.000920.A-sieto2.jpg,SIETO,PT. SIETO PROPERTI INDONESIA,Steven Sieto,"Jl. Bukit Darmo Boulevard 8 L
Surabaya
Telp. 031 - 7322999    Fax : 7345177",sietorealestateagents@gmail.com
92,0001.000918.A,https://arebijatim.org/files/0001.000918.A-logo darmo permai.png,XAVIER MARKS DARMO PERMAI,PT. KARUNIA HIDUP SUKSES,David Ardian Susanto,"Simpang Darmo Permai Selatan XIV No.1 Surabaya
Telp. 031 – 7344212",info.xmdamai@gmail.com
93,2019.000036.A,https://arebijatim.org/files/2019.000036.A-shine.jpg,SHINE REAL ESTATE,PT. LUI JAYA BERSAMA,Tan Yen Djiauw,"Raya Darmo Pemai III Bavarian B-28, Surabaya
Telp. 085281515758",shine.citraland@gmail.com
94,2019.000034.A,https://arebijatim.org/files/2019.000034.A-Winston Logo Png.png,WINSTON CITRALAND,PT. CITRA SUKSES PROPERTINDO,Johanes Sutanto,"Ruko Royal Citylof RCL 0101, Royal Residence, Surabaya
Telp. 031 – 7322300",winston.citraland@gmail.com
95,2019.000041.A,https://arebijatim.org/files/2019.000041.A-smartwise pro.jpg,SMARTWISE PRO,PT. RAJA PROPERTI SURABAYA,Sulistio Widodo,"Jl. Margorejo Indah 60-68 Blok A No. 138-146 RT.001 RW.008 Surabaya
Telp. 081234010027",smartwise.pro@gmail.com
96,2019.000046.A,https://arebijatim.org/files/2019.000046.A-xm premier.jpg,XAVIER MARKS PREMIER,PT. XMARKS MALANG PROPERTI,Juan Hogianto,"Jl. Bukit Dieng P-12 B, Malang
Telp. 0341 – 474 990",info.xmpremier@gmail.com
