no,merek dagang,tujuan,kategori
55,"ABACEL 18 EC, ACHILES 300 EC, ADITRIN 50 EC, AFFENDER 25 EC, AGMECTIN 20 EC, AGSTAP 50 SP, AGSTRIN 100 EC, AKSIGUA 50 ME, ALBIAS 75 SP, ALCOVE 50 EC, ALIKA 247 ZC, BELIUNG 200 EC, BESHIPO 500 SL, BESTFAST 250 EC, BESTOX 50 EC, BIOCRON 500 EC, BUZZZTOX 50 EC, CHASE 100 EC, CYPERMAX 100 EC, DECIS 25 EC, DELFIN WG, DETONATOR 20 WP, DHARMABAS 500 EC, DHARMAFUR 3 GR, DHARMASAN 600 EC, DORSA 15/5 WP, DROIDS 250 EC, ENDURE 120 SC, ERKATRIN 30 EC, FASTCHEFAT 75 WP, FASTRIN 100 EC, FENVAL 200 EC, FIXUS 360 SC, FRA-RED 250 EC, FURY 50 EC, GAYA 550 EC, GUNTUR 75 WP, HIGRADE 200 EC, INOVA 25 EC, KAIPAL 200 EC, KLENSECT 200 EC, KNOCKER 360 EC, LICRON 500 EC, LUDO 310 EC, MARSHAL 200 EC, MATADOR 25 EC, METAL 30 EC, METIN 40 SP, MEXICAN 300 EC, MIATI 200 EC, MOLLIENT 75 SP, NANOFOS 480 EC, NARATRIN 300 EC, PORSELEN 5 SG, PROMOTRIN 60 EC, PYRINEX 480 EC, RADIANT 200 EC, RAMPAGE 100 EC, RAMPOK 200 EC, RATCHET 50/200 EC, RAYDENT 200 EC, RAYDOCK 28 EC, ROLICRON 500 EC, ROLIDOR 25 EC, ROMPES 250 EC, SANFAT 75 SP, SANKILL 530/60 EC, SIDACRON 510 EC, SINARMETRIN 200 EC, SOLID 12/200 EC, SUMIALPHA 25 EC, SUMITHION 500 EC, TERMESTOK 200 SL, TORNADO 250 EC, TREBON 95 EC, TRIDASAN 600 EC, TRIDATRIN 250 EC, TUMAGON 100 EC, VALANI 200 EC, VELOCE 400 SL, WARSHIP 500 EC, YASITHRIN 30 EC, ZESBAN 480 EC ",ulat grayak Spodoptera exigua ,umum 
56,"REGENT 0,3 GR ",orong-orong Gryllotalpa sp. ,umum 
57,CYRROTEX 75 SP ,penggorok daun Liriomyza chinensis ,umum 
58,PROMECTIN 60 EC ,"penggorok daun Liriomyza chinensis, ulat grayak Spodoptera exigua ",umum 
59,PENALTY 50 SC ,penggorok daun Liriomyza sp. ,umum 
60,HIPOMEC 63 WP ,pengorok daunLiriomyza huidobrensis ,umum 
61,"ALPHADINE 6 GR, CRONUS 18 EC ",pengorok daun Liriomyza chinensis ,umum 
62,ALFAMEX 18 EC ,"pengorok daun Liriomyza chinensis, hama trips Thrips tabaci ",umum 
63,"SIKLON 5,7 WG, VALETUDO 300 EC ","pengorok daun Liriomyza chinensis, ulat grayak Spodoptera exigua ",umum 
64,"BENLOX 50 WP, POLYCOM 70 WG ",penyakit antraknosa Colletotrichum circinans ,umum 
65,ARYTOP 300 EC ,penyakit barcak ungu Alternaria porri ,umum 
66,AGROKOL 70 WP ,penyakit becak daun Alternaria porri ,umum 
67,ANTILA 80  WP ,penyakit becak ungu Alternaria porri ,umum 
68,"BAZOKA 80 WP, COLANTA 70 WP, COZEB 80 WP, CURZATE 8/64 WP, DETAZEB 80 WP, METAZEB 80 WP, SIDAZEB 80 WP, TANZEB 80 WP, THIONIC 76 WG ",penyakit bercak daun Alternaria porri ,umum 
69,BELLKUTE 40 WP ,"penyakit bercak daun Alternaria porri, penyakit antraknosa Colletotrichum sp. ",umum 
70,ORTRAN 75 SP ,hama penggorok daunLiriomyza chinensis ,umum 
71,PREZA 100 OD ,"ulat grayak Spodoptera exigua, pengorok daun Lyriomyza huidobrensis ",umum 
72,MERPAN 80 WG ,"penyakit bercak ungu Alternaria porri, penyakit antraknosa Colletotrichum gloeosporioides ",umum 
73,CABRIO 250 EC ,Penyakit bercak unguAlternaria porii ,umum 
74,"EXPLORE 250 EC, TIFLO 80 WG, WENDA 20 WP ",penyakit bercak unguAlternaria porri ,umum 
75,"ANMI 100 SC, ANTIGERMEN-PLUS 520 SC, APIKOL 70 WP, AZOSTAR 250 SC, AZOXA 280 SC, BESCONIL 80 WP, CORONA 325 SC, DANVIL 50 SC, DARGO 76 WP, ELARIO 50 WP, ESTRAGO 250 SC, FLASHER 250 SC, FULLSTOP 325 SC, GREENACOL 70 WP, HAJAR 250/150 SC, INDOTHANE 80 WP, KENDIZOL 250 EC, MANCOTHANE 80 WP, MANTEB 80 WP, MEGAZEB 80 WP, PHYTOKLOR 82,5 WG, POLYCOM 70 WG, PYRAMID 72 WP, REMAZOLE-P 490 EC, SAGRI-ZONE 450 SC, SANTACOL 80 WP, TAMICORE 250 EC, TAMIPSIN 500 SC, TIFLO 80 WP, TRIDAZEB 80 WP, TRITHANE 80 WP, VICTORY 80 WP, ZEBINDO 80 WP, ZENITH 75 WP, ZOLE 250 EC ",penyakit bercak ungu Alternaria porri ,umum 
76,AGIL 100 EC ,gulma berdaun lebar Phyllanthus debilisgulma berdaun sempit Echinocloa colonaDigitaria ciliarisLeptochloa chinensisteki Cyperus rotundus  ,umum 
77,PROWL 330 EC ,"gulma berdaun lebar Ageratum conyzoides, Amaranthus spinosus, Althernanthera philoxeroides, Erechtites valerianifolia ; gulma berdaun sempit Cynodon dactylon, Digitaria sp., Echinochloa colona, Eleusine indica ",umum 
78,BIGEST 20 TB ,"meningkatkan tinggi tanaman, jumlah daun, jumlah umbi/tanaman, bobot umbi/tanaman, bobot umbi/ubinan, hasil/ha ",umum 
79,HARAXIN 20 SL ,meningkatkan tinggi tanaman meningkatkan jumlah umbi pertanaman dan hasil tanaman ,umum 
80,GAPLUS 20 TB ,"meningkatkan tinggi tanaman, jumlah daun, jumlah anakan, komponen hasil, dan hasil tanaman ",umum 
81,CYPERMAX 200 EC ,"hama trips Thrips palmi, pengorok daun Liriomyza chinensis, ulat grayak Spodoptera exigua ",umum 
82,"CRONUS 18 EC, PROMECTIN 60 EC ",hama trips Thrips tabaci ,umum 
83,DASATRIN 110 EC ,kutu daun Aphis glycines ,umum 
84,FAMDATRIN 50 EC ,kutu daun Myzus Persicae ,umum 
85,GLIDER 25 TB ,Meningkatkan komponen hasil dan hasil tanaman. ,umum 
86,GOBEST 250 SC ,"Meningkatkan jumlah umbi/rumpun, bobot umbi/petak, hasil umbi /ha ",umum 
87,SAGRI-FIX 45 SL ,meningkatkan hasil panen ,umum 
88,GALIL 300 SC ,hama tripsThrips parvispinus ,umum 
89,"CUSTODIA 320 SC, FURAXIN 10 SL, TRIVIA 73 WP ","penyakit bercak ungu Alternaria porri, penyakit busuk daun Peronospora destructor ",umum 
90,MARSHAL 25 DS ,hama orong-orong Gryllotalpa sp. ,umum 
91,GOLOK 240 EC ,"gulma berdaun sempit Leptochloa chinensis, teki Cyperus difformis ",umum 
92,ABOS 240 EC ,"gulma berdaun sempit Digitaria ciliaris, teki Cyperus sp. ",umum 
93,GOLMA 240 EC ,"gulma berdaun lebar Portulaca oleracea, gulma berdaun sempit Echinochloa colonum, Eleusine indica ",umum 
94,GULL 240 EC ,"gulma berdaun lebar Amaranthus spinosus, Portulaca oleracea, gulma berdaun sempit Echinochloa colonum ",umum 
95,GLOVE 240 EC ,"gulma berdaun lebar Ageratum conyzoides, Euphorbia hirta, Portulaca oleracea, Synedrella nodiflora; gulma berdaun sempit Echinochloa colonum, Eleusine indica ",umum 
96,ALTERNA 90 WP ,bercak ungu Alternaria porri ,umum 
97,DOST 330 EC ,gulma berdaun lebar Ageratum conyzoidesAlternanthera sp.gulma berdaun sempitCynodon dactylonEchinochloa colonum  ,umum 
98,FUSCO 400 EC ,ulat grayak Spodoptera litura ,umum 
99,BENZAPYR 120 SC ,"ulat grayak Spodoptera exigua, pengorok daun Liriomyza chinensis ",umum 
100,TOPMEEK 50 EC ,ulat grayakSpodoptera exiqua ,umum 
101,"CIELO 50 EC, VIPER 600 EC, VOLIAM TARGO 63 SC ",ulat grayak Spodoptera exigua ,umum 
102,SAMAR 75 WP ,penyakit bercak ungu Alternaria porri ,umum 
103,CLOSEN 125 SC ,penyakit bercak ungu Alternaria porri; penyakit busuk daun Peronospora destructor ,umum 
104,LUCERO 70 WP ,penyakit embun buluPerenospora destructor ,umum 
105,SACO-P ,penyakit layuFusarium oxysporum ,umum 
106,BOSBAN 200 EC ,kutu daunMyzus persicae ,umum 
107,GIBBRACID 40 SL ,"meningkatkan tinggi tanaman jumlah daun dan bobot umbi/tanaman, hasil umbi/petak. ",umum 
108,PROUD 4 EC ,"meningkatkan tinggi tanaman, bobot umbi basah, umbi kering per rumpun, hasil umbi per petak dan hasil umbi per hektar ",umum 
109,PROTAB 10 TB ,"meningkatkan tinggi tanaman, jumlah umbi, bobot basah dan bobot kering umbi. ",umum 
110,GOLDEN GIBB 5 TB ,"meningkatkan tinggi tanaman, komponen hasil dan hasil tanaman ",umum 
111,PROMECTIN 100 EC ,pengorok daunLiriomyza hidobrensis ,umum 
112,"GHAJANG 56/100 EC, METHOX 42 SP, SAGRI-CLEAR 30/6 WP, SAGRI-POWER 288 SC, SAGRI-PURE 400 EC, TAXEDOWN 150 EC ",pengorok daunLiriomyza huidobrensis ,umum 
113,OBLIVION 180/120 SC ,"pengorok daun Liriomyza chinensis, ulat grayak Spodoptera exigua ",umum 
114,SYMPHONY 100 EC ,"pengorok daun Liriomyza huidobrensis, ulat grayak Spodoptera exigua ",umum 
115,BADIK 18 EC ,pengorok daun Liriomyza sp. ,umum 
116,NARCIM 80 WP ,penyakit antraknosaColletotrichum spp. ,umum 
117,TASEN 45 M 80 WP ,penyakit bercak daunAlternaria porri  ,umum 
118,CORIDOR 250 EC ,penyakit bercak daun Alternaria porri ,umum 
119,"ACASH 300 EC, BESTEEWORLD 43 SL, DUSTER 200 SC, IMPETU 69 WP, INDOTOP 325 SC, KENISA 280 SC, NAUTILE 68/5 WG, ODESSA 60 WP, RAINKOPRAL 60 WG, SITARA 80 WP ",penyakit bercak unguAlternaria porri ,umum 
120,DOBRA 50 WP ,penyakit bercak unguAlternaria solani ,umum 
121,ABATECH 18 EC ,hama trips Thrips sp. ,umum 
122,ASSOCIATE 200 SC ,hama penggorok daun Liriomyza chinensis ,umum 
123,"ANJANIE 300 EC, BOSTRIN 100 EC, DEKTIN 30 WG, JOSSBAN 600 EC, SIMETRIN 150 EC ",hama kutu daunMyzus persicae ,umum 
124,ZERAM 250 EC ,gulma berdaun lebarPortulaca oleraceagulma berdaun sempit Digitaria ciliaris ,umum 
125,GALACIDE 150 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Mikania micrantha; gulma berdaun sempit, Ischaemum timorense, Ottochloa nodosa ",umum 
126,RUDSTAR 250 EC ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidospermae, Portulaca oleracea; gulma berdaun sempit   Eleusine indica ",umum 
127,RUDSTAR 250 EC ,gulma berdaun sempit Echinochloa colonum ,umum 
128,XTRAIL 500 SC ,hama kutu daunMyzus persicae ,umum 
129,BELLMAC 240 EC ,Gulma berdaun lebarCleome rutidospermaePortulaca oleraceaGulma berdaun sempitCynodon dactylonDigitaria sp. ,umum 
130,SATGAZ 75 WP ,Bawang merah:penyakit bercak unguAlternaria porri ,umum 
131,NATIVO 75 WG ,bercak daunAlternaria porri ,umum 
132,"AGRITHANE 80 WP, ARGA 400 SC, DEVON 300 EC, DKBOSTROBIN 32,7 WG, SIDAZEB 60 WP ",bercak unguAlternaria porri ,umum 
133,"ALIAGA 380 SC, BAHSAN 650 EC, BESTINDO 45 WP, BETAPRO 300 SC, BITCOIN 200 EC, COLAM 247 ZC, CURACRON 500 EC, DINGO 30 EC, DONKEY 40 SP, EDO 25 WG, EMAZO 75 EC, EMPIRE 280 EC, EXPERT-PLUS 230 EC, FERO BWG, INDOSA 210 OD, KENMECTIN 39 EC, KRONOL 300 EC, METINDO PLUS 42 WP, MIGUEL 200 SC, MONTANA 230 EC, NAPIRTOP 300/5 EC, NEOFOXS 200 EC, NEOPOWER 30 EC, OFFLOST 110 EC, OKEZONE 50/40 EC, RAMONA 40 WP, RAYDOCK 55 EC, RHENOS 36 EC, SIDATHIAM 310 SC, SOPETON 108 EC, SUKHOI 100 EC, TORI 50 WP, TRIACTIVE PLUS 70 WP, UPSEEL 20 EC, VERSUS 250 EC, VIVO 100 EC ",ulat grayakSpodoptera exigua ,umum 
134,ORTEGA 80 WP ,penyakit pucuk kuningPerenospora destructor ,umum 
135,ASSOCIATE 200 SC ,hama ulat grayak Spodoptera exigua ,umum 
136,"FASCRON 500/50 EC, GRESSRUX 18 EC, LASER 480 SC, SUPERFOS 550 EC, VAMPYR 700 EC, VORTEX 30 EC ",hama ulat grayakSpodoptera exigua ,umum 
137,"PESTOR 20,02 EC ",hama thrips Thrips tabaci ,umum 
138,PESNAB 4 EC ,penyakit bercak unguAlternaria porri ,umum 
139,"MATADOR 25 EC, SUMIALPHA 25 EC ",ulat grayak Spodoptera exigua ,umum 
140,PIRAKLO 250 EC ,antraknosaColletotrichum sp. ,umum 
141,DECIS 25 EC ,lalat buah Bactrocera sp. ,umum 
142,DECIS 25 EC ,hama gudang Sitophilus zeamais ,umum 
143,PUANMUR 50 SP ,penyakit hawar pelepah Xanthomonas oryzae ,umum 
144,PUANMUR 50 SP ,penyakit blast Pyricularia grisea ,umum 
145,MSBROM 98 GA* ,hama gudang Tribolium castaneum ,umum 
146,"MEFLOUR 99.8 GA*, MEFLOUR 99.8 GA* ",Sitophilus oryzaeTribolium castaneum ,umum 
147,"LEKA 99,8 GA* ",hama gudang Tribolium castaneum ,umum 
148,"FENTRON 500 EC, TRIBOLA 500 EC ","hama gudang Tribolium castaneum, Sitophilus spp., Rhyzoperta spp. ",umum 
149,QUICKPHOS 56 T * ,"hama gudang Sitophilus zeamais, Tribolium castaneum, Rhyzoperta dominica ",umum 
150,SHENPHOS 57 TB* ,"hama gudang Sitophilus zeamais, Rhyzopertha dominica, Tribolium castaneum ",umum 
151,FUMILIKUID 2 GA ,hama berasRhyzoperta dominicaSitophilus oryzaeTribolium castaneum ,umum 
152,ALUFOS 56 TB ,hama berasRhyzoperta dominicaTribolium castaneum ,umum 
153,"SULFO-GAS 99,8 LG* ",hama berasSitophilus oryzae ,umum 
154,SUNPORE 210 EC ,hama berasSitophilus spp. ,umum 
155,SUNPORE 210 EC ,hama berasTribolium castaneum ,umum 
156,PHOSTEK 56 P* ,hama gudangSitophilus oryzaeTribolium castaneum ,umum 
157,PHOSTEK 56 TB* ,"hama gudang Sitophilus zeamais, Tribolium castaneum ",umum 
158,HELLIOPHOS 56 TB* ,"hama gudang Tribolium castaneum, Sitophilus spp. ",umum 
159,METIL-GAS 98 LG* ,Sitophilus oryzae ,umum 
160,SILOGUD 250 EC ,Tribolium sp.Oryzaephillus surinamensisSitophilus oryzae ,umum 
161,FUMIGUARD 99 GA* ,hama gudang Oryzaephilus surinamensisSitophilus zeamaisTribolium confusum  ,umum 
162,"INDOFUME 99,8 GA* ",hama gudangCryptolestes spp. ,umum 
163,PHOSTOXIN 56 TB* ,hama gudangLaemophloeus pusillusSitophilus oryzaeTribolium sp. ,umum 
164,WISESA PHOSPHIDE 56 TB* ,hama gudangSitophilus oryzaeTribolium castaneum ,umum 
165,FUTRICHO P ,penyakit busuk batang Ganoderma boninense ,umum 
166,GALIL 300 SC ,rayap tanahCoptotermes curvignathus ,umum 
167,TOSBONE 100 EC ,rayap tanah Coptotermes curvignathus ,umum 
168,ESPLANADE 22 WG ,"gulma berdaun lebar Ageratum conyzoides, Chromolaena odorata, Synedrella nodiflora, gulma berdaun sempit Eleusine indica ",umum 
169,GOSONGTOP 276 SL* ,"gulma berdaun lebar Ageratum conyzoides, Alternanthera sessilis, Synedrella nodiflora, gulma berdaun sempit Digitaria ciliaris, Eleusine indica ",umum 
170,SUPREMO 480 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, gulma berdaun sempit Digitaria ciliaris ",umum 
171,SUPREMO 480 SL ,"gulma berdaun sempit Brachiaria mutica, alang-alang Imperata cylindrica ",umum 
172,BIOLARIS 550 SC ,"gulma berdaun lebar Commelina benghalensis, Celosia argentea, Cleome rutidosperma, Digitaria sp., Richardia brasiliensis. ",umum 
173,ASIARIS 550 SC ,"gulma berdaun lebar Ageratum conyzoides, Bidens pilosa, Borreria repens, Cleome rutidospermae, Synedrella nodiflora; golongan rumput Digitaria ciliaris, Eleusine indica, Panicum repens ",umum 
174,PRIMA-LARIS 240 OD ,"gulma berdaun lebar Alternanthera philoxeroides, Cleome rutidosperma, Commelina sp.; golongan rumput Cynodon dactylon, Echinochloa nodosa; teki Cyperus rotundus ",umum 
175,HERBINATOR 80 WG ,"gulma berdaun lebar Amaranthus spinosus, Murdannia nudiflora; gulma berdaun sempit Digitaria ciliaris, Eleusine indica ",umum 
176,INTEGRITY 668 EC ,"gulma berdaun lebar Borreria alata, Cleome rutidospermae, Commelina benghalensis, Ipomoea triloba, Meloxia chorcorifolia, Richardia brasiliensis, Richardia brasiliensis, Phylantus niruri; golongan rumput Brachiaria mutica, Dactyloctenium aegyptum, Digitar ",umum 
177,BIONASA 480 SL ,"gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Paspalum conjugatum, Ischaemum timorense, Ottochloa nodosa ",umum 
178,SLAYER 205 SL ,"gulma berdaun lebar Ageratum conyzoides, Cleome aspera, Synedrella nodiflora, gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum ",umum 
179,TRIESTER 480 EC ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Chromolaena odorata, Mikania micrantha ",umum 
180,KISS UP 490 SL ,gulma berdaun lebar Ageratum conyzoidesClidemia hirtagolongan rumputDigitaria ciliarisPaspalum conjugatum ,umum 
181,TRIESTER 480 EC ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Chromolaena pubescens, Mikania micrantha ",umum 
182,"ALPHATECH 240/4,25 SL ",gulma berdaun lebar Ageratum conyzoidesCalopogonium mucunoidesgulma berdaun sempit Brachiaria muticaPaspalum conjugatum  ,umum 
183,ARBOTA 480 EC ,gulma daun lebarAsystasia gangeticaClidemia hirta ,umum 
184,TRIKOS 480 EC ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Chromolaena odorata, Clidemia hirta, Mikania micrantha ",umum 
185,AMFURON 20 WG ,"gulma berdaun lebar Ageratum conyzoides, Clidemia hirta, Synedrella nodiflora ",umum 
186,GOSONGTOP 276 SL* ,"gulma berdaun lebar Borreria alata, Clidemia hirta, gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum ",umum 
187,PRIMAKUAT 276 SL* ,"gulma berdaun lebar Borreria alata, Clidemia hirta, Synedrella nodiflora, gulma berdaun sempit Ischaemum timorense, Paspalum conjugatum ",umum 
188,GLINAT 150 SL ,"gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Eleusine indica ",umum 
189,NAKARAZ 490 SL ,"gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa ",umum 
190,ARBOTA 480 EC ,"gulma berdaun lebar dan berkayu Clidemia hirta, Chromolaena odorata, Diodia sarmentosa ",umum 
191,DIVAXONE MIX 255 SL* ,gulma berdaun lebarClidemia hirtaNephrolepis biserratagolongan rumputOttochloa nodosaIpomoea triloba ,umum 
192,ARBOTA 480 EC ,"gulma berkayu Clidemia hirta, Melastoma affine, Diodia sarmentosa ",umum 
193,ARBOTA 480 EC ,gulma daun lebarClidemia hirta ,umum 
194,TRICLOMAX 834 EC ,"Gulma berdaun lebar Clidemia hirta, Mikania micrantha, Borreria alata, Chromolaena odorata ",umum 
195,PITBULL 160 SL ,gulma berdaun lebar Ageratum conyzoides  Borreria alata Clidermia hirta Tetracera indica ,umum 
196,PITBULL 160 SL ,gulma golongan rumput Anoxopus compressus  Digitaria ciliaris Paspalum conjugatum ,umum 
197,TOPZONE 276 SL* ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidosperma, gulma berdaun sempit Axonopus compressus, Ottochloa nodosa, Setaria plicata ",umum 
198,"ALPHATECH 240/4,25 SL ",gulma berdaun lebarAgeratum conyzoidesBorerria alatagolongan rumputAxonopus compressus ,umum 
199,ELANG 480 SL ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidospermae, gulma berdaun sempit Axonopus compressus, Ottochloa nodosa, Setaria plicata ",umum 
200,RYNNDOMIN 888 SL ,- gulma berdaun lebar Monochoria vaginalis Ludwigia perennis- gulma golongan rumput Echinochloa colona- teki Fimbristylis miliacea ,umum 
201,TUFOMIN 865 SL ,"gulma berdaun lebar Monochoria vaginalis, Ludwigia octovalvis, Marsilea crenata, teki Fimbristylis miliacea ",umum 
202,PRIMAXONE 276 SL* ,"gulma berdaun lebar Ludwigia octovalvis, gulma berdaun sempit Leersia hexandra ",umum 
203,PRIMAXONE 276 SL* ,gulma berdaun sempit Echinochloa crus-galli ,umum 
204,PRIMAXONE 276 SL* ,"teki Eleocharis dulcis, Cyperus spp. ",umum 
205,PIRIBAC 400 SC ,"gulma berdaun lebar Ludwigia octovalvis, gulma berdaun sempit Echinochloa crus-galli, teki cyperus iria, Fimbrystylis miliacea ",umum 
206,BADAX 400 SC ,"gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Spenochlea zeylanica; gulma berdaun sempit Echinochloa crus-galli, Echinochloa colona, Leptochloa chinensis; teki Cyperus difformis ",umum 
207,METSUN 60 WG ,"gulma berdaun lebar Ludwigia hyssophyfolia, teki Cyperus iria, Fimbristyllis litoralis ",umum 
208,LEPTOKIL 140 SE ,"gulma berdaun lebar Ludwigia hyssopifolia, Fimbristylis littoralis; gulma berdaun sempit Leptochloa chinensis; teki Cyperus iria ",umum 
209,TUMINI 400 SC ,golongan rumput Echinochloa colona ,umum 
210,TUMINI 400 SC ,gulma berdaun lebar Ludwigia hyssofipolia  Limnocharis flava Sphenochlea zeylanica ,umum 
211,STARANE 480 EC ,gulma berdaun lebar Asystasia gangeticaCleome rutidospermam ,umum 
212,FOX 500 EC ,"gulma berdaun lebar  Asystasia gangetica, Mikania micrantha, Melastoma affine ",umum 
213,ESPLANADE 22 WG ,"gulma berdaun lebar Tetracera indica, Schima wallichi, gulma berdaun sempit Ottochloa nodosa ",umum 
214,STARANE 480 EC ,gulma berdaun lebar Asystasia gangetica ,umum 
215,STARANE 480 EC ,gulma berdaun lebar Boreria alata ,umum 
