no,kpdti,nama pts,alamat,kode pos,telp,fax
18,31003,Universitas   Islam Jakarta,JL. BALAI   RAKYAT UTAN KAYU  JAKARTA TIMUR,13120,"021-85666451,8504818",021-8504818
19,31005,Universitas   Jakarta,JL PULOMAS   BARAT VILLA TANAH MAS JAKARTA   TIMUR,13210,"4894521,   4722350/54",4722374
20,31006,Universitas   Jayabaya,JL.   PULOMAS SELATAN KAV 23  JAKARTA TIMUR,13210,4700877,4700893
21,31007,Universitas   Katolik Indonesia   Atma Jaya,JENDERAL   SUDIRMAN 51  JAKARTA SELATAN,12930,021-5734354,021-5708811
22,31047,Universitas   Kejuangan 45 Jakarta,JL.DEWI   SARTIKA NO.307-308  JAKARTA TIMUR,13630,021-8097771,021-8090822
23,31008,Universitas   Krisnadwipayana,KAMPUS   UNKRIS JATIWARINGIN PO BOX 7774/JAT.CM JAKARTA   TIMUR,13077,8462229-31,8462461
24,31009,Universitas   Kristen Indonesia,JLN.   MAYJEN SUTOYO  JAKARTA TIMUR,13630,021   8094009,021   8094009
25,31010,Universitas   Kristen Krida Wacana,JL.TANJUNG   DUREN RAYA NO 4  JAKARTA   BARAT,11470,5666952-55,5666951
26,31019,Universitas   Mercu Buana,"JL.RAYA   MERUYA SELATAN, KEMBAN GAN, KEBUN JERUK JAKARTA   BARAT",11650,021-5840816,021-5840813
27,31024,Universitas   Mpu Tantular,JL. CIPINANG   BESAR  JAKARTA TIMUR,13410,(021)-8562011,(021)-8562010
28,31011,Universitas   Muhammadiyah Jakarta,JL. KH.   AHMAD DAHLAN CIRENDEU CIPUTAT JAKARTA   SELATAN,15419,(021)7401894,(021)   7430756
29,31039,Universitas Muhammadiyah Prof Dr Hamka,JL.LIMAU   II KEBAYORAN BARU JAKARTA   SELATAN,12130,(021)   7208177,(021)   7261226
30,31051,Universitas   Multimedia Nusantara,PLAZA   SUMMARECON SERPONG LT.6 JL. BOULEVARD GADING SERPONG TANGERANG,11111,021 5420   1444,021   54203444
31,31012,Universitas   Nasional,JL. SAWO   MANILA PEJATEN PASAR MINGGU JAKARTA   SELATAN,12520,021-7806700,021-7802718
32,31013,Universitas   Pancasila,SRENGSENG   SAWAH JAGAKARSA JAKARTA   SELATAN,12640,021-7270086,021-7271868
33,31041,Universitas   Paramadina,JL. JEND.   GATOT SUBROTO KAV 97 MAMPANG PRAPATAN JAKARTA   SELATAN,12790,021-79181188,021-7993375
34,31034,Universitas   Pelita Harapan,JL. M.H.   THAMRIN 00-00 LIPPO KARAWACI TANGERANG TANGERANG,15811,5460901,5460910
35,31035,Universitas   Pembangunan Nasional Veteran Jakarta,JL.R.S.   FATMAWATI PONDOK LABU JAKARTA SELATAN JAKARTA SELATAN,12450,021-7656904/75817114,021-7692860/75817114
36,31020,Universitas   Persada Indonesia   YAI,JL.DIPONEGORO   74 JAKARTA PUSAT JAKARTA PUSAT,10340,3926000,3914878
37,31014,Universitas Prof Dr Moestopo (Beragama),HANG LEKIR   I NO 8  JAKARTA PUSAT,10270,021-7220269,021-7252682
38,31027,Universitas   Respati Indonesia,JL. BAMBU   APUS I NO.3 CIPAYUNG JAKARTA   TIMUR,13890,(021)8454731,(021)847628
39,31030,Universitas   Sahid,JL.PROF. DR. SOEPOMO SH NO. 84 JAKARTA SELATAN,12870,021-8312813-15,021-8354763
40,31025,Universitas   Satya Negara Indonesia,JL. ARTERI   PONDOK INDAH NO. 11 KEBAYORAN LAMA JAKARTA   SELATAN,12240,021-739839,7200352
41,31031,Universitas   Satyagama,"JL. KAMAL   RAYA NO. 2A, LINGKAR LUAR BARAT, CENGKARENG JAKARTA BARAT",11730,(021)   5452378,(021)   54391325
42,31029,Universitas   Surapati,JAKARTA TIMUR,,,
43,31043,Universitas   Suryadarma,JL   PROTOKOL HALIM P HALIM PERDANAKUSUMA JAKARTA   TIMUR,13610,021 –   8093475,021-   8009246
44,31050,Universitas   Tama Jagakarsa,JL. TB.   SIMATUPANG NO.152 TANJUNG BARAT JAKARTA   SELATAN,12530,021-7890965,021-7890966
45,31015,Universitas   Tarumanagara,JL. S.   PARMAN NO. 1 GROGOL JAKARTA   BARAT,11440,021-5671747,021-5604478
46,31052,Universitas   Timbul Nusantara,JL.   MANDALA UTARA NO. 33 – 34 TOMANG JAKARTA   BARAT,11440,(021) 560   2637,(021) 560   4658
47,31016,Universitas   Trisakti,JL KIYAI   TAPA NO 1 GROGOL  JAKARTA BARAT,11440,021-5663232,021-5673001
48,31022,Universitas   Wiraswasta Indonesia,JL.   JAGAKARSA RAYA NO. 16 LENTENG AGUNG JAKARTA   TIMUR,13210,021-7874834,021-7874834
49,31026,Universitas   Yarsi,JL.LETJEN   SUPRAPTO CEMPAKA PUTIH JAKARTA   PUSAT,10510,021-4213065/4206676,021-4213065
50,32009,Institut   Bisnis Dan Informatika Indonesia,JL. YOS   SUDARSO KAV.87 SUNTER JAKARTA   UTARA,14350,021-65307062,021-65306967
51,32012,Institut   Bisnis Nusantara,JAKARTA TIMUR,,,
52,32005,Institut   Ilmu Sosial Dan Ilmu Politik Jakarta,JL. RAYA   LENTENG AGUNG NO. 32  JAKARTA SELATAN,12610,62-21-7806223/4,62-21-7817630
53,32002,Institut   Kesenian Jakarta   – LPKJ,JL. CIKINI   RAYA 73 KOMPLEK TAMAN ISMAIL MARZUKI JAKARTA   PUSAT,10330,021-3924018,021-31924807
54,32011,Institut   Keu Perbankan Dan Inf Asia Perbanas,"JL.   PERBANAS, KARET KUNINGAN SETIA BUDI JAKARTA   SELATAN",12940,021-5278788,021-5222645
55,32008,Institut   Sains Dan Teknologi Al-Kamal,JL.AL-KAMAL   NO.2  JAKARTA BARAT,11520,5811088,58300105
56,32004,Institut   Sains Dan Teknologi Nasional,BUMI   SRENGSENG INDAH JL MOH. KAHFI II    JAGAKARSA JAKARTA   SELATAN,12640,(021)   7270090,(021)   7874648
57,32007,Institut   Teknologi Budi Utomo,JL RAYA   MAWAR MERAH 23 PERUMNAS KLENDER JAKARTA   TIMUR,13460,(021)   8611849/50,8613627
58,32006,Institut   Teknologi Indonesia,SERPONG  TANGERANG,15320,7560545,7560542
59,33133,STIAS   Bunda Hati Kudus,JL. KEBUN   JERUK 17 NO. 1A HAYAM WURUK JAKARTA   BARAT,11160,021-6242175,
60,33182,STIBA Indonesia LPI,JAKARTA PUSAT,,,
61,33079,STIE IBMI Jakarta,JAKARTA SELATAN,,,
62,33168,STIE Indonesia    Banking School,JL. KEMANG   RAYA NO. 35 KEL. BANGKA KEC. MAMPANG PRAP. JAKARTA SELATAN,17320,021-7195474,021-7195486
63,33082,STIE Jakarta    International College,JL.   PERUNGGU NO.53-54 KEL.HARA PAN MULYA GALUR CPK.PUTIH JAKARTA PUSAT,10640,021-4207238,021-4207238
64,33036,STIE   Keuangan Dan Perbankan Indonesia,JL.KAMPUS   STEKPI NO. 1 JAKARTA SELATAN JAKARTA SELATAN,12760,7981366,7981352
65,33197,STIE   Manajemen Bisnis Indonesia,,,,
66,33132,STIE   Pariwisata Internasional,JL RAYA   KALIMALANG NO.2A JAKARTA TIMUR JAKARTA TIMUR,13620,"021-8629472,86604113",021-8629471
67,33115,STIE   Pengembangan Bisnis Dan Manajemen,JL.DEWI   SARTIKA NO.4EF CILILITAN JAKARTA   TIMUR,13640,021-8008580,021-8008272
68,33188,STIE   Unisadhuguna,JL. RS   FATMAWATI NO. 52 CILANDAK BARAT JAKARTA   SELATAN,12430,02175817573,02175907835
69,33200,STIKES   Bhakti Pertiwi Indonesia,,,,
70,33167,STIKES   Kesetiakawanan Sosial Indonesia,JL.PACUAN   KUDA 1-5 PULOMAS JAKARTA   TIMUR,13210,021   47865584,021   47865584
71,33172,STIKES   Mohammad Husni Thamrin,JL. RAYA   PONDOK GEDE NO. 23-25 KRAMAT JATI JAKARTA   TIMUR JAKARTA   TIMUR,13550,021   8096411,021 8092235
72,33170,STIKES   Persada Husada Indonesia,JL.   JATIWARINGIN RAYA NO 24 JATIWARINGIN JAKARTA   TIMUR,13440,021-86611934,021-86611954
73,33194,STIKS   Tarakanita,KOMPLEKS   BILLY & MOON PONDOK KELAPA JAKARTA   TIMUR,13450,(021)   8649870,(021)   8642115
74,33178,STIMIK   Jayabaya Jakarta,JL.   PULOMAS SELATAN KAV. 23  JAKARTA TIMUR,13210,021-4899288,021-4899288
75,33180,STIMIK   Supra,"JL. LET.   JEND. S. PARMAN KAV. 76, SLIPI JAKARTA   BARAT",11410,021-5300951,021-5359812
76,33052,STISIP   Pusaka Nusantara,JAKARTA TIMUR,,,
77,33004,STISIP   Widuri,JL.   PALMERAH BARAT NO. 353 JAKARTA SELATAN JAKARTA SELATAN,12210,021-5306445,021-5330977
78,33092,STKIP   Albana,JL RAYA   BELASI TIMUR KM 14.8 NO. 5 JAKARTA   TIMUR,13250,021-47862343,021-4899892
79,33193,STKIP   Kebangkitan Nasional,JAKARTA SELATAN,,,
80,33014,STKIP   Kusumanegara,JL. RAYA BOGOR KM.24 CIJANTUNG JAKARTA   TIMUR JAKARTA   TIMUR,13770,(021)   87791773,(021)   87791773
81,33011,STKIP   Purnama,JL.   TIRTAYASA V KEBAYORAN BARU  JAKARTA SELATAN,12160,021-7234546,7234546
82,33159,STKIP   Suluh Bangsa,JL. OTISTA   RAYA NO. 113BC  JAKARTA TIMUR,13330,021-8517104,021-8517105
83,33187,STMIK   Bidakara,KOMP.   BIDAKARA GDG. BINASENTRA JL. GATOT SUBROTO KAV 71-73 JAKARTA SELATAN,12870,021-83793513,021-83793463
84,33110,STMIK Bina   Mulya,JL. PEMUDA   NO. 36 – RAWAMANGUN JAKARTA TIMUR JAKARTA   TIMUR,13220,4714848,4758427
85,33196,STMIK   Eresha,JL. H.   SAMALI NO 51 KALIBATA JAKARTA   SELATAN,12740,0217989705,0217989314
86,33031,STMIK Indonesia Jakarta,JL.KYAI   TAPA NO.216 A  JAKARTA BARAT,11440,(021)5672455,5673438
87,33181,STMIK Inti   Indonesia,JL ARJUNA   UTARA NO.35 DURI KEPA JAKARTA   BARAT,11510,021-5654969,021-5654970
88,33198,STMIK   Islam Internasional,JAKARTA SELATAN,,,
89,33162,STMIK   Jakarta Institute Of Technology,JAKARTA BARAT,,,
90,33022,STMIK Jakarta Sti&k,JL. BRI   RADIO DALAM KEBAYORAN BARU JAKARTA   SELATAN,12140,021-7397973,021-7210720
91,33080,STMIK   Jayakarta,JL SALEMBA   RAYA NO 24  JAKARTA PUSAT,10430,021-3906060,021-3907070
92,33149,STMIK   Jibes,JL. RAYA   BULEVAR NO.1 GEDUNG UTAMA “AXC” KLP. GADING JAKARTA UTARA,14240,021.4529399,021.45842797
93,33034,STMIK   Kuwera,JL.MADRASAH   NO. 14 CILANDAK TIMUR JAKARTA   SELATAN,12560,"7812061,   7800286",7800535
94,33164,STMIK   Mahakarya,JL. TAMPAK   SIRING DAAN MOGOT BARU KM. 16 BLOK KJ-E NO. 2 JAKARTA BARAT,11840,021 –   54373967 / 68,021-   54373968
95,33127,STMIK   Muhammad Husni Thamrin,JL. RAYA   PONDOK GEDE NO 23-25 KRAMATJATI JAKARTA TIMUR JAKARTA TIMUR,13550,0218096792,0218092235
96,33088,STMIK   Muhammadiyah Jakarta,JL.   TEGALAN RAYA 1D-F MATRAMAN JAKARTA   TIMUR,13140,"8576647,   8576654",8576647
97,33165,STMIK Nusa   Mandiri Jakarta,JL.KRAMAT   RAYA NO.25 JAKARTA PUSAT JAKARTA PUSAT,10450,(021)31908575,(012)31908565
98,33101,STMIK   Satyagama,JL. KAMAL   RAYA NO. 2A CENGKARENG JAKARTA   BARAT,11730,54397349,54391325
99,33063,STMIK   Swadharma,JL. MALAKA   NO. 3  JAKARTA BARAT,11230,021   6915209/10,021   6915212
100,33140,STMIK   Widuri,JL.PALMERAH   BARAT 353  JAKARTA BARAT,12210,021-5306446/47,021-5494743
101,33137,Sekolah   Tinggi Bahasa Asing IEC Jakarta,JLN.   JATINEGARA BARAT 187  JAKARTA TIMUR,13310,8518685,8191161/8576905
102,33111,Sekolah   Tinggi Bahasa Asing LIA Jakarta,JL.   PENGADEGAN TIMUR RAYA NO. 3 PANCORAN JAKARTA   SELATAN,12770,02179181051,02179181057
103,33116,Sekolah   Tinggi Bahasa Asing Pertiwi Indonesia,JL. DEWI   SARTIKA KAV. 2-3 CILILITAN JAKARTA   TIMUR,13000,021-8090474,021-8015349
104,33184,Sekolah   Tinggi Desain Interstudi,JL. KAPT.   TENDEAN NO. 2 MAMPANG JAKARTA   SELATAN,12240,021-71793985,021-71790477
105,33199,Sekolah   Tinggi Desain La Salle,JAKARTA PUSAT,,,
106,33001,Sekolah   Tinggi Filsafat Driyarkara,"JL.CEMPAKA   PUTIH INDAH 100 A JEMBATAN SERONG, RAWASARI JAKARTA PUSAT",10520,021-4247129,021-4224866
107,33009,Sekolah   Tinggi Filsafat Theologi Jakarta,JL.   PROKLAMASI NO.27 JAKARTA PUSAT JAKARTA PUSAT,10320,3904237,3153781
108,33061,Sekolah   Tinggi Hukum Indonesia Jakarta,JL.MASJID   I NO.5 KARET TENGSIN JAKARTA-PUSAT JAKARTA   SELATAN,12785,021.5735125,021.5735125
109,33122,Sekolah   Tinggi Ilmu Administrasi & Sekretari Asmi,JL. PACUAN   KUDA NO. 1 – 5 PULO MAS JAKARTA   TIMUR,13210,021-4714941,021-4708050
110,33050,Sekolah   Tinggi Ilmu Administrasi Kawula Indonesia,JAKARTA TIMUR,,,
111,33037,Sekolah   Tinggi Ilmu Administrasi Mandala Indonesia,JL.   PANGKALAN ASEM RAYA NO. 55 CEMPAKA PUTIH JAKARTA PUSAT,10530,021-4213380,021-4218870
112,33028,Sekolah   Tinggi Ilmu Administrasi YPIAMI,JL.ANCOL   SELATAN NO.17 SUNTER  JAKARTA UTARA,14350,6411116,6411116
113,33019,Sekolah   Tinggi Ilmu Administrasi Yapann,JL.   TANJUNG BARAT RAYA NO. 1  JAKARTA SELATAN,12530,(021)   7806049,(021)   7810423
114,33103,Sekolah   Tinggi Ilmu Ekonomi Ahmad Dahlan Jakarta,JL. RAYA   CIPUTAT NO 77 CIPUTAT TANGERANG,15419,021-7430930,021-7491100
115,33038,Sekolah   Tinggi Ilmu Ekonomi Bhakti Pembangunan,JL.SABAR   NO.66 PESANGGRAHAN PETUKANGAN SELATAN JAKARTA   SELATAN,12270,"(021)   7362445,67",(021)   7363569
116,33060,Sekolah   Tinggi Ilmu Ekonomi Bisnis Indonesia,JL. RAYA   KEBAYORAN LAMA NO. 46 PERMATA HIJAU JAKARTA   BARAT,11560,021-5307008,021-5307009
117,33121,Sekolah   Tinggi Ilmu Ekonomi Dharma Bumi Putra,JALAN   WARUNG JATI BARAT NO. 41 WARUNG BUNCIT JAKARTA   SELATAN,12760,021-7985965,021-7985531
118,33099,Sekolah Tinggi Ilmu Ekonomi Dr Moechtar Talib,JL. SETU   RAYA GG. PINANG NO.67 KEL. CIPAYUNG JAKARTA TIMUR,13840,8457125,84307305
119,33095,Sekolah   Tinggi Ilmu Ekonomi Dwipa Wacana,"JL. MINDI   RAYA NO. 61, LAGOA  JAKARTA UTARA",0,021-32577928,021-43921615
120,33158,Sekolah   Tinggi Ilmu Ekonomi Gandhi,JL. PASAR   BARU SELATAN NO. 10  JAKARTA PUSAT,10710,021-2524874/5/6,021-5205460
121,33076,Sekolah   Tinggi Ilmu Ekonomi Ganesha,SENTRA   SALEMBA MAS JL. SALEMBA RAYA NO.34-36. K JAKARTA PUSAT,10430,3161670-72,3161673
122,33062,Sekolah   Tinggi Ilmu Ekonomi Gotong Royong,JL.   CIPUTAT RAYA NO. 11 PONDOK PINANG JAKARTA   SELATAN,12310,021-75901459,021-75917874
123,33072,Sekolah   Tinggi Ilmu Ekonomi IGI,"JL.   ANGGREK CENDRAWASIH VIII NO. 1, SLIPI JAKARTA   BARAT",11480,"021-5308815,   5493169",021-5493169
124,33074,Sekolah   Tinggi Ilmu Ekonomi IPWI Jakarta,GEDUNG   ADHI GRAHA LANTAI 14 JL. GATOT SUBROTO KAVLING 56 JAKARTA SELATAN,12950,021-5265266,021-5265270
125,33109,Sekolah   Tinggi Ilmu Ekonomi ISM,JL.   TIRTAYASA II KEBAYORAN BARU JAKARTA   PUSAT,10722,70328423,70328423
126,33012,Sekolah   Tinggi Ilmu Ekonomi Indonesia   Jakarta,JL. KAYU   JATI RAYA 11-A RAWAMANGUN JAKARTA   TIMUR,13220,021-4750321,021-4722371
127,33059,Sekolah   Tinggi Ilmu Ekonomi Jayakarta,JL.   SALEMBA RAYA NO.24 JAKARTA PUSAT JAKARTA PUSAT,10430,"021-3906060,   3145054",021-3907070
128,33119,Sekolah   Tinggi Ilmu Ekonomi Jayakusuma,DELTA BUILDING BLOK A34-36 JL. SURYO PRANOTO 1-9   HARMONI JAKARTA   PUSAT,10160,(021)3840874,(021)3459737
129,33025,Sekolah   Tinggi Ilmu Ekonomi Kampus Ungu,JL. PACUAN   KUDA NO. 1 – 5 PULO MAS JAKARTA   TIMUR,13210,021-4178048,4756009
130,33120,Sekolah   Tinggi Ilmu Ekonomi Kasih Bangsa,JL.DR.KASIH   NO.1 (MASUK JL.E) KEBON JERUK JAKARTA   BARAT,11530,021-5363420,021-5363420
131,33032,Sekolah   Tinggi Ilmu Ekonomi Kusumanagara,JL.RAYA BOGOR KM.24-CIJANTUNG PASAR REBO JAKARTA TIMUR,13770,"021-8403646,87790773",021-8411329
132,33125,Sekolah   Tinggi Ilmu Ekonomi Maiji,JL. GATOT   SUBROTO KAV.32-34 GD. PATRA JASA LT.8 JAKARTA   SELATAN,12950,021-5252054,021-5208035
133,33093,Sekolah   Tinggi Ilmu Ekonomi Moh Husni Thamrin,JL. RAYA   PONDOK GEDE NO.23-25 KRAMAT JATI-JAKARTA TIMUR JAKARTA TIMUR,13550,021-8096411   EXT-1201,021-8092235
134,33096,Sekolah   Tinggi Ilmu Ekonomi Muhammadiyah Jakarta,JL. KRAMAT   RAYA NO.49 JAKARTA PUSAT JAKARTA PUSAT,10450,(021)3905357,(0271)3927709
135,33044,Sekolah   Tinggi Ilmu Ekonomi Nasional Indonesia,JL.   MATRAMAN NO. 3-5-7  JAKARTA TIMUR,13150,0218564791   – 2,0218564919/8591190
136,33124,Sekolah   Tinggi Ilmu Ekonomi Sailendra,JL.   MARGASATWA NO. 99B PONDOK LABU JAKARTA   SELATAN,12450,"75902412,   75902413",75902414
137,33183,Sekolah   Tinggi Ilmu Ekonomi Santa Ursula,JL. KH.   MOH. MANSYUR NO. 19-25 JEMBATAN LIMA JAKARTA BARAT,11260,021-63851942,021-6493783
138,33078,Sekolah   Tinggi Ilmu Ekonomi Supra,"JL. LET.   JEND. S. PARMAN KAV. 76, SLIPI JAKARTA   BARAT",11410,021-5300951,021-5359812
139,33015,Sekolah   Tinggi Ilmu Ekonomi Swadaya,JATIWARINGIN   RAYA NO. 36 JAKARTA TIMUR JAKARTA TIMUR,13620,021-8612829,021-8602142
140,33086,Sekolah   Tinggi Ilmu Ekonomi Taman Siswa,JL. GARUDA   NO.44 KEMAYORAN JAKARTA PUSAT JAKARTA PUSAT,10620,021   4265630,021   42884122
141,33040,Sekolah   Tinggi Ilmu Ekonomi Tri Dharma Widya,JAKARTA PUSAT,,,
142,33087,Sekolah   Tinggi Ilmu Ekonomi Trianandra,JL.AMAL   TRIANANDRA NO.35 PONDOK BAMBU JAKARTA   TIMUR,13074,021.8613481,021.8614625
143,33105,Sekolah   Tinggi Ilmu Ekonomi Triguna,"JL. HANG   LEKIU III/17, KEBAYORAN BARU JAKARTA   SELATAN",12120,021-7250161-7244026,021-7205207
144,33066,Sekolah   Tinggi Ilmu Ekonomi Trisakti,JL. KYAI   TAPA NO. 20 GROGOL JAKARTA   BARAT,11440,(021)-5666717,(021)-5635480
145,33107,Sekolah   Tinggi Ilmu Ekonomi Tunas Nusantara,JL. BUDHI   NO.21 DEWI SARTIKA CAWANG JAKARTA   TIMUR,13630,021   80883639,021   80883639
146,33155,Sekolah   Tinggi Ilmu Ekonomi Tunas Patria,JAKARTA SELATAN,,,
147,33084,Sekolah   Tinggi Ilmu Ekonomi Widya Jayakarta,JL. TEBET   BARAT DALAM NO. 39 – 41 TEBET JAKARTA   SELATAN,12810,021-83787228,021-83701209
148,33157,Sekolah   Tinggi Ilmu Ekonomi Widya Persada,JL BUNCIT   RAYA NO. 486 JAKARTA   SELATAN,12740,021   7944883,021   7991369
149,33131,Sekolah   Tinggi Ilmu Ekonomi Wira Bakti,JAKARTA TIMUR,,,
150,33126,Sekolah Tinggi   Ilmu Ekonomi Wiyatamandala,JL   SWASEMBANDA TIMUR XIII NO.46 JAKARTA   UTARA,14320,021-70073689,021-70337116
151,33024,Sekolah   Tinggi Ilmu Ekonomi YAI,KRAMAT   RAYA NO. 98 JAKARTA PUSAT JAKARTA PUSAT,10420,3906447,3923265
152,33128,Sekolah   Tinggi Ilmu Ekonomi YPBI,JL.RAYA   BEKASI KM.24 BLOK A4 NO 1 & 2 JAKARTA   TIMUR,13950,021-46829437,021-4611654
153,33073,Sekolah   Tinggi Ilmu Hukum IBLAM,JL. R   SANIM NO 99 TANAH BARU BEJI DEPOK,16426,(021)7764310,(021)7762969
154,33173,Sekolah   Tinggi Ilmu Kesehatan Abdi Nusantara,JL RAYA   KALIMALANG NO 12 A-C PONDOK KELAPA JAKARTA   TIMUR,13450,021   86905427,021   86905428
155,33135,Sekolah   Tinggi Ilmu Kesehatan Binawan,JL.   KALIBATA RAYA NO.25-30 JAKARTA TIMUR JAKARTA TIMUR,13630,(021)80880882,(021)80880883
156,33129,Sekolah   Tinggi Ilmu Kesehatan Indonesia   Maju,GEDUNG   HZ.JL HARAPAN NO.50 LENTENG AGUNG JAKARTA   SELATAN,12610,021-78894044-45,021-78894045
157,33147,Sekolah   Tinggi Ilmu Kesehatan Istara Nusantara,JL.   INSPEKSI SALURAN BLOK IVC KALIMALANG JAKARTA   TIMUR,13420,021-8506158,021-8506158
158,33179,Sekolah   Tinggi Ilmu Kesehatan Jayakarta,JL.TANAH   MERDEKA V KEL.RAMBUTAN KEC.CIRACAS JAKARTA   TIMUR,13830,"021-8403657,8403526",021-8403582
159,33156,Sekolah   Tinggi Ilmu Kesehatan Medistra Indonesia,JL.CUT   MUTIA NO.88A BEKASI  BEKASI,17000,021-82431375/76/77,021-82431374
160,33171,Sekolah   Tinggi Ilmu Kesehatan Mitra Ria Husada,KOMPLEK   YKBRP JL. KARYA BHAKTI NO.3 JAKARTA   TIMUR,13270,021-8730818,021-8730818
161,33139,Sekolah   Tinggi Ilmu Kesehatan Pamentas,"JL.   PERTANIAN RAYA NO. 1, LEBAK BULUS JAKARTA   SELATAN",12240,021-75816620,021-75816618
162,33190,Sekolah   Tinggi Ilmu Kesehatan Pertamedika,JL.KYAI   MAJA NO.43 KBY. BARU JAKARTA SELATAN JAKARTA SELATAN,12120,021   7219991,021   7219988
163,33117,Sekolah   Tinggi Ilmu Kesehatan Sint Carolus,JL.   SALEMBA RAYA 41  JAKARTA PUSAT,10440,021-3924094,021-3924094
164,33192,Sekolah   Tinggi Ilmu Kesehatan Sismadi,JAKARTA UTARA,,,
165,33163,Sekolah   Tinggi Ilmu Komunikasi Indonesia   Maju,GEDUNG HZ.   JL. HARAPAN NO. 50 LENTENG AGUNG JAKARTA   SELATAN,12610,021-78894044,021-78894045
166,33106,Sekolah   Tinggi Ilmu Komunikasi Inter Studi,JL. KAPTEN   TENDEAN NO.2 MAMPANG JAKARTA   SELATAN,12101,021-71793985,021-71790477
167,33112,Sekolah   Tinggi Ilmu Komunikasi LSPR,SUDIRMAN PARK   GEDUNG A-C JLN.KH.MAS MANSYUR KAV.35 JAKARTA   PUSAT,10340,57942471,57942639
168,33154,Sekolah   Tinggi Ilmu Komunikasi Profesi Indonesia,KOMPLEK   CEMPAKA MAS BLOK A 27 CEMPAKA PUTIH JAKARTA   PUSAT,10640,021-42878253,021-42878159
169,33151,Sekolah   Tinggi Ilmu Komunikasi YTKP,RADIO   DALAM CENTER JL. KRAMAT PELA 40 A-B JAKARTA   SELATAN,12140,021   7227338,021   7227340
170,33054,Sekolah   Tinggi Ilmu Manajemen Kosgoro,JL. BUMI   PRATAMA RAYA KRAMAT JATI JAKARTA TIMUR JAKARTA TIMUR,13530,021   87781945-47,021   87781948
171,33085,Sekolah Tinggi   Ilmu Manajemen LPMI,JL.TENGGIRI   NO.17 RAWAMANGUN JAKARTA TIMUR JAKARTA TIMUR,13220,0214706816,0214751505
172,33138,Sekolah   Tinggi Ilmu Maritim AMI,JL. PACUAN   KUDA NO. 1 – 5 PULO MAS JAKARTA   TIMUR,13210,4753327,4718046
173,33177,Sekolah   Tinggi Ilmu Pemerintahan Abdi Negara,JL.KRAMAT   VI NO. 4 – 6  JAKARTA PUSAT,10430,021-3915557,021-3149745
174,33189,Sekolah   Tinggi Internasional Konservatori Musik In,JL. LETNAN   SUTOPO KAV. IIIA NO. 10 BUMI SERPONG DAMAI TANGERANG,15223,021-5389150/52,021-5389154
175,33041,Sekolah   Tinggi Keuangan Niaga & Negara Pembangunan,JL.PALAPA   RAYA NO.2 PASAR MINGGU JAKARTA   SELATAN,12550,0217803952/7243186,0217268949
