no,Nama Perusahaan,Alamat,Telepon,website,Komoditi,Bidang Usaha
8712,"A F R A, CV","Btn Surya Graha Lestari, Blok N/2, Desa. Dauh Peken, Tabanan, Bali",,,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
8713,"A L A A, PT","Jl. Dharmahusada Mas Blok Ad 09, Surabaya, Jawa Timur",,,"Oth Sugar Confectionery,not Cont.cocoa, Oth Soft,c
Oth Having Anti-fungai Shampoo
Fish Sauce","Oth sugar confectionery,not cont.cocoa, oth soft,c
Oth Having Anti-fungai Shampoo
Fish Sauce"
8714,"A Plus Global Coal, PT","Jl Kedungmundu Raya No 100, Semarang, Jawa Tengah",,www.aplusglobalcoal.com,Oth Than Wood Charcoal(including Shell  Or Nut Cha,Oth than wood charcoal(including shell  or nut cha
8715,"A&k Door Indonesia, PT","Jl. M.h. Thamrin 57 Permata Plaza 11th 1107, Jakarta Pusat, DKI Jakarta",0267646640,,Doors & Their Frames & Thresholds Of Wood,Doors & their frames & thresholds of wood
8716,"A&one Precision Enginering, PT","Jl. Lot Sd-62, Bie Lobam- P.bintan, Bintan, Kepulauan Riau",,,Other Mounting ; Oth Than Of A Kind Suitable For S,Other mounting ; oth than of a kind suitable for s
8717,"A. A, Ud.","Jl. Medan-b, Gampong Jalan, Idi Rayeuk 24454, Aceh Timur, Nanggroe Aceh Darussalam",064621128,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D
Ginger, Neither Crushed Nor Ground","Areca nuts, whether/not shelled/peeled, fresh or d
Ginger, Neither Crushed Nor Ground"
8718,"A. Schulman Plastics, PT","Desa Ngerong Km. 39 Gempol, Pasuruan, Gorontalo",0343854238,www.aschulman.com,"Polypropylene In Granule Form
Oth Linier Low Density Polyethylene In The Form
Propylene Copolymers In Granule","Polypropylene in granule form
Oth Linier Low Density Polyethylene In The Form
Propylene Copolymers In Granule"
8719,"A. Surya Sejahtera Abadi, CV","Jl Mayjen Sungkono Rt 02 Rw 02, Malang, Jawa Timur",,,Oth Manufactured Tobacco For The Manufacture Of Ci,Oth manufactured tobacco for the manufacture of ci
8720,"A.n. Jaya, CV","Jl. Ikan Mungisng V/09, Surabaya, Jawa Timur",0313281118,,"Other Fish, Not Marine Fish, Excl.fillets, Livers
Savalai Hairtails, Excl.fillets, Livers And Roes,
Furniture Of Plastics Oth Than For Baby","Other fish, not marine fish, excl.fillets, livers
Savalai Hairtails, Excl.fillets, Livers And Roes,
Furniture Of Plastics Oth Than For Baby"
8721,"A.w Faber-castell Indonesia, PT","Jl. Raya Narogong Pangkalan Ib Bantargebang, Bekasi, Jawa Barat",0218250752,www.faber-castell.co.id,"Crayons & Oth Pencils With Lead Encased In A Rigid
Black Pencils, With Lead Encased In A Rigid Sheath
Folding Cartons,boxes&cases,of Non-corru Gated","Crayons & oth pencils with lead encased in a rigid
Black Pencils, With Lead Encased In A Rigid Sheath
Folding Cartons,boxes&cases,of Non-corru Gated"
8722,A9,"Jl. Wisata Bahari No. 1 Km. 31 Rt. 002/ Rw. 002 Kawal, Bintan, Kepulauan Riau",,,"Other Marine Fish Excl.fillets, Livers And Roes, F","Other marine fish excl.fillets, livers and roes, f"
8723,"Aarti Jaya, PT","Jl. Inhoftank Komplek .jati Permai Ruko No.56, Bandung, Jawa Barat",0225232002,www.aartijaya.com,"Mens/boys Trousers, Breeches&shorts Of Oth Texti
Womens/girls Blous,shirt&shirt Blous Of Oth
Mens/boys Ovr Coats,car Coat,capes,","Mens/boys trousers, breeches&shorts of oth texti
Womens/girls Blous,shirt&shirt Blous Of Oth
Mens/boys Ovr Coats,car Coat,capes,"
8724,"Aasmaa Tradexindo, PT","Harapan Indah 2, Ruko Aralia Blok. Hy-43 No.15, Bekasi, Jawa Barat",02129283794,,"Black Tea (fermented) & Partly Permented  Tea, Oth
Gum Damar
Ginger, Neither Crushed Nor Ground","Black tea (fermented) & partly permented  tea, oth
Gum Damar
Ginger, Neither Crushed Nor Ground"
8725,"Ab Brother, CV","Jl. Flamboyan Gg.renggali No.2 Rt.07 Rw.02 Catur Tunggal Kec.depok, Sleman, D.I. Yogyakarta",02744632785,,"Leather Further Prepared After Tanning/ Crusting,","Leather further prepared after tanning/ crusting,"
8726,"Abacus Kencana Industries, PT","Jl. Imam Bonjol Km. 48,bekasi, Bekasi, Jawa Barat",02189106980,www.abacus.co.id,Other Control Panel,Other control panel
8727,Abad Jepara,"Banjaran Rt 001 Rw 001, Jepara, Jawa Tengah",,,"Seat Of Cane,osier Or Similar Material
Oth Wooden Furniture,oth Than Fume Cupboard
Furniture,of Kind Used In Parks","Seat of cane,osier or similar material
Oth Wooden Furniture,oth Than Fume Cupboard
Furniture,of Kind Used In Parks"
8728,"Abadi Adimulia, PT","Jl. Rungkut Industri 1/14, Surabaya, Jawa Timur",0318439486,www.abadiadimulia.com,"Stoppers, Lids, Caps And Other Closures
Other Carboys, Bottles, Flasks & Similar  Article","Stoppers, lids, caps and other closures
Other Carboys, Bottles, Flasks & Similar  Article"
8729,Abadi Asia Pasific,"Jl. Halimun No35,rt008/002, Jakarta Selatan, DKI Jakarta",,,"Sea Cucumbers (stichopus Japonicus, Holothurloldea","Sea cucumbers (Stichopus japonicus, Holothurloldea"
8730,"Abadi Barindo Autotech, PT","Jl. Raya Purwosari No.1 Km.61, Pasuruan, Gorontalo",0343613707,,"Non Woven Of Oth M-m-f,weight=<150g/m2
Oth Made Up Articls, Not Umbrella Covers
Seats Of A Kind Used For Motor Vehicles Oth Than","Non woven of oth m-m-f,weight=<150g/m2
Oth Made Up Articls, Not Umbrella Covers
Seats Of A Kind Used For Motor Vehicles Oth Than"
8731,"Abadi Cahaya Prima, PT","Jl. Tawakal Xi No.1., Jakarta Barat, DKI Jakarta",0215669601,,"Inedible Mixture/preparations Of Animal/ Vegetable
Ground-nut,soya-bean, Palm/coconut Oil
Inedible Mixtures/preparations Of Oil Palm","Inedible mixture/preparations of animal/ vegetable
Ground-nut,soya-bean, Palm/coconut Oil
Inedible Mixtures/preparations Of Oil Palm"
8732,"Abadi Garmindo, PT","Jl. Cireundeu Raya No.49 Rt.005/006,tangerang Selatan, Tangerang Selatan, Banten",0217442598,ptag.co.id,"Males Shirts Of Cotton, Printed By Traditional Ba
Oth Male Garmnt Of 5602/03;5903/06/07 For Protect","Males shirts of cotton, printed by traditional ba
Oth Male Garmnt Of 5602/03;5903/06/07 For Protect"
8733,"Abadi Indorona, PT","Jl. Meruya Ilir Intercon Plaza Blok E/9 Rt.001/009, Jakarta Barat, DKI Jakarta",0215872904,www.veneerabadi.com,"Other Furniture Of Cane, Osier, Bamboo Or Similar","Other furniture of cane, osier, bamboo or similar"
8734,"Abadi Makmur Ocean, PT","Jl. Samudera No.3 Pudi P.p.s., Kendari, Sulawesi Tenggara",04013195159,abadimakmurocean.com,"Skipjack Or Stripe-bellied Bonito, Excl. Fillets,
Yellowfin Tunas, Excl.fillet, Liver & Roes, Frozen","Skipjack or stripe-bellied bonito, excl. fillets,
Yellowfin Tunas, Excl.fillet, Liver & Roes, Frozen"
8735,"Abadi Modern Terbaik 21, PT","Jl. Ra Kosasih No.51, Sukabumi, Jawa Barat",02666247494,,"Bulbs,tubers,tuberous Roots, Corms, Crowns & Rhizo
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Ceramic Articles Of Porcelain/ China","Bulbs,tubers,tuberous roots, corms, crowns & rhizo
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Ceramic Articles Of Porcelain/ China"
8736,"Abadi Permai, PT","Jl. Riau No. 1 - G, Medan, Sumatera Utara",06177876918,,"Leather Further Prepared After Tanning/ Crusting,
Oth Plants&parts Of Plants, Not For Pharmacy, Not","Leather further prepared after tanning/ crusting,
Oth Plants&parts Of Plants, Not For Pharmacy, Not"
8737,"Abadi Rukun Mandiri, CV","Jl. Kalimas Baru 29 Blok B-4 Rt.001 Rw.001 Perak Utara Pabean Cantian, Surabaya, Jawa Timur",0313282902,,"Oth Vegetable Prodcts Not Used Primarily In Tannin
Ginger, Neither Crushed Nor Ground
Textile Fibres Of Coconut (coir), Raw","Oth vegetable prodcts not used primarily in tannin
Ginger, Neither Crushed Nor Ground
Textile Fibres Of Coconut (coir), Raw"
8738,"Abadi Sentosa Gemilang, PT","Gedung Bulutangkis Vc. Jl. Asia Afrikagelora, Tanah Abang, Jakarta Pusat, DKI Jakarta",,,"Sports Footwear Not Fitted With Spikes/ Wrstling/w
Oth Footwear With Outer Sole Of Leather, Not
Badminton Or Similar Rackets, Whether/ Not Strung","Sports footwear not fitted with spikes/ wrstling/w
Oth Footwear With Outer Sole Of Leather, Not
Badminton Or Similar Rackets, Whether/ Not Strung"
8739,Abadikokoh Insani,"Jl. Otto Iskandardinata Raya No.19, Jakarta Timur, DKI Jakarta",,,"Oth Non-aerated Beverage Ready For Immediate Consu
Radiator Panel,flat Tube Radiator Assemb For
Hyd Brake Fluid&oth For Hyd Trnsmssion Whether Or","Oth non-aerated beverage ready for immediate consu
Radiator Panel,flat Tube Radiator Assemb For
Hyd Brake Fluid&oth For Hyd Trnsmssion Whether Or"
8740,"Abadinusa Usahasemesta, PT","Jl. Raden Saleh No. 45g, Cikini, Jakarta Pusat, DKI Jakarta",0213101826,www.abadinusa.co.id,"Oth Instruments&app Oth Than Exposure Meters,elect","Oth instruments&app oth than exposure meters,elect"
