no,nama media,jenis media,penanggung jawab,pemimpin redaksi,badan hukum,provinsi,alamat,email
17,Jurnalis.co.id,Siber,Moh Aswandi,Moh Aswandi,Jurnalis Media Online,Kalimantan Barat,"Jalan Jambu Mente, Nomor 48 B (Ruko Urut 8), Kelurahan Sungai Jawi Luar, Kecamatan Pontianak Barat, Kota Pontianak, Provinsi Kalimantan Barat, Indonesia",kamijurnalis@gmail.com
18,Metro Siantar,Cetak,Dame Ambarita,Eva Wahyuni,Siantar Media Pers,Sumatera Utara,Jalan Sangnawaluh Komp. Megaland Blok A No 24 ,metrosiantar@yahoo.com
19,investigasi.news,Siber,Suci Martia,Suci Martia,Gema Media Kita,Sumatera Barat,Jalan Raya ulu Gadut RT 001 / RW 006 Kelurahan Bandar Buat Kecamatan Lubuk Kilangan Kota Padang,redaksiinvestig4si@gmail.com
20,dumaiposnews.com,Siber,Bambang Hendriyanto,Bambang Hendriyanto,Dumai Multimedia Korporindo,Riau,JL. MH. Thramrin (Dockyard) RT 015 Kelurahan Pangkalan Sesai Kecamatan Dumai Barat  ,dumaiposnews123@gmail.com
21,Magelang Ekspres,Cetak,Wawan Setiawan,Wawan Setiawan,Wahana Semesta Magelang,Jawa Tengah,Jl. A. Yani No. 348 Magelang,magelangekspres@gmail.com
22,Majalah Sudut Pandang,Cetak,Umi Sjarifah,Umi Sjarifah,Majalah Sudut Pandang,DKI Jakarta,Ruko Mega Grosir Cempaka Mas Blok D.1 No.11 Jl.Letjend Suprapto Jakarta Pusat,media.sudutpandang@gmail.com
23,Inisulsel.com,Siber,Muannas,Muannas,Inisulsel Media Mandiri,Sulawesi Selatan,Jalan Maccini Baru No 13,ptinisulselmediamandiri@gmail.com
24,bisanews.id,Siber,Khairul Muslim,Khairul Muslim,Batu Bara Utama,Sumatera Utara,"Dusun II No.27, Simpang Dolok, Kec Lima Puluh	  ",redaksibisanews@gmail.com
25,Harian Surya,Cetak,Tri Mulyono,Tri Mulyono,Antar Surya Media,Jawa Timur,Jl. Rungkul Industri III No. 69 & 70 Surabaya,redaksi.surya.co.id
26,poskota.co.id,Siber,Tatang Suherman,Tatang Suherman,Media Antarkota Jaya,DKI Jakarta,"Jl. Raya Kebayoran Lama No. 22, Kebon Jeruk",redaksi@poskota.co.id
27,Beritakaltim.co,Siber,Charles Siahaan,Charles Siahaan,Charle Media Grup,Kalimantan Timur,"Jalan Turi Putih 3, Blok E 139, Sempaja, Samarinda Utara",beritakaltimdotco@gmail.com
28,serayunews.com,Siber,A. Nurkholis,A. Nurkholis,Serayu Digital Media,Jawa Tengah,JL Kinibalu No 44 Cilacap,newsserayu@gmail.com
29,ignnews.id,Siber,Nizamul Akhyar,Nizamul Akhyar,Media Cakrawala Anambas,Kepulauan Riau,"Jl. Tanjung Baruk, RT 003/RW 002. Dusun I Batu Balai, Kecamatan Siantan, Kabupaten Kepuluan Anambas – Kepulauan Riau",ignnews0@gmail.com
30,rm.id,Siber,Riki Handayani,Riki Handayani,Wahana Ekonomi Semesta,DKI Jakarta,"Gedung Graha Pena (Jawa Pos) Lt. 8, Jalan Raya Kebayoran Lama Nomor 12",idrakyatmerdeka2021@gmail.com
31,metropublik.com,Siber,Erris Julietta Napitupulu,Erris Julietta Napitupulu,Metro Publik Mandiri,Sumatera Utara,"Jl.Sei Mencirim, No.204/142 Kelurahan Babura, Kecamatan Medan Sunggal, Kota Medan, Sumatera Utara – Telp. (061) 4257-0846 – Hp. 0812-6965-5444 – email : Redaksimetropublik@gmail.com – Kode Pos 20121.",redaksimetropublik@gmail.com
32,sumut24.co,Siber,Amru Lubis,Amru Lubis,Media Britama Sukses,Sumatera Utara,Jalan Sei Brantas No. 34 Medan,sumutduaempatonline@gmail.com
33,narasinews.id,Siber,Isma Hakim Rahmat,Isma Hakim Rahmat,Narasi News Group,Jawa Timur,"Kampung Krajan, Rt 01 Rw 01, Panji Kidul, Kecamatan Panji",narasinewsid@gmail.com
34,lenteraesai.id,Siber,P.K. Yanes Setat,P.K. Yanes Setat,Cahaya Lentera Khatulistiwa,Bali,"Jalan Noja, Gg. XXIX-A No. 5, Kesiman, Denpasar Timur",lenteraesai@gmail.com
35,gerbangrepublik.com,Siber,Mehdi M,"Mehdi M,",Cokros Win Sugeta,Lampung,"Jln. Gemini, No.01 Perum Rajabasa Indah, Bandar Lampung",gerbangrepublik@gmail.com
36,lampost.co,Siber,Iskandar Zulkarnain,Sjaichul Anwar, Citra Multimedia Indonesia,Lampung,Jl. Soekarno Hatta No. 108 Rajabasa,lampostmedia@gmail.com
37,Rakyat News ,Cetak,Sonny Samatha,Sonny Samatha,Portal Media  Rakyat,Lampung," Redaksi Metro, Jalan Poksai VI Hadimulyo Barat Kecamatan Metro Pusat, Kota Metro 34111 Sirkulasi Komplek pemuda jalam temanggung jaya, Rajabasa, Bandar Lampung",rakyatnewsredaksi@gmail.com 
38,penarakyat.com,Siber,Jumardi ,Jumardi ,Fuma Nusantara Media,Sulawesi Selatan,Jl. Dahlia Perumahan Graha Dahlia Blok A No.3 Sengkang Kab. Wajo Sulawesi Selatan,redaksi.penarakyat@gmail.com
39,Dumai Pos,Cetak,Lismar Sumirat ,Bambang Hendriyanto,Dumai Intergrafika Pers,Riau,Jl. MH Thamrin (dh Dockyard) RT 15 Kelurahan Pangkalan Sesai Kecamatan Dumai Barat Kota Dumai,dumaipos123@yahoo.com
40,terdepan.co.id,Siber,Ikawati Ratna Dewi,Ikawati Ratna Dewi,Terdepan Media Sukses,Kepulauan Riau,Buana Vista Indah 2 No 16 A Belian Batam Kota Batam – Kepulauan Riau,terdepantv@gmail.com
41,ligo.id,Siber,Syahrir Soleman,Syahrir Soleman,Ans Media Gorontalo,Gorontalo,Jln. Jaksa Agung Suprapto. No. 40 B. Kelurahan Limba U2. Kecamatan Kota Selatan. Kota Gorontalo.,ligodotcom@gmail.com
42,harianjogja.com,Siber,Anton Wahyu Prihartono,Anton Wahyu Prihartono,Aksara Dinamika Jogja,DI Yogyakarta,"JL. AM. Sangaji No. 41, Cokrodiningratan, Jetis, Yogyakarta",online@harianjogja.com
43,Murianews.com,Siber,Dani Agus,Dani Agus,Muria Indomedia,Jawa Tengah,"United Square 2nd Floor Ring Road Utara Singocandi, Kudus, Jawa Tengah, kode pos 59314",red.murianews@gmail.com
44,Metro Sulawesi,Cetak,Udin Salim,Udin Salim,Pena Metro Sulteng,Sulawesi Tengah,"Kantor Harian Metro Sulawesi, Jln. Sisingamangaraja No 9A Kota Palu",udinsalim2@gmail.com
45,segmennews.com,Siber,Hasran Abadi,Hasran Abadi,Radja Segmen Media,Riau,"Jalan Kasah Gg.Mawar 1, No:7, Kelurahan Tangkerang Tengah, Kec, Marpoyan Damai. ",redaksisegmen@gmail.com
46,Monitorriau.com,Siber,Cipto Setyawan,Cipto Setyawan,Akbarie Monitor Media,Riau,Jalan Jaya Indah No 192-193 Jayamukti Dumai Timur Kota Dumai Provinsi Riau,redaksimonitorriau@gmail.com
47,Berau Post,Cetak,Yudhi Perdana,Yudhi Perdana,Duta Berau Lintasmedia,Kalimantan Timur,Jl. Bukit Ria RT. 10 No. 3 Tanjung Redeb ,beritabepe@gmail.com
48,Harian Pagi Memo X,Cetak,Endik Junaedi,Endik Junaedi,Memontum Tung Sejahtera,Jawa Timur,"Ruko Istana Dinoyo Blok B/6, JL. MT Haryono 1A Dinoyo, Kota Malang",harianmemox15@gmail.com
49,enimekspres.co.id,Siber,Mukhlis Trijaya,Mukhlis Trijaya,Enim Ekspres Mandiri,Sumatera Selatan,"Lantai 2, Gedung Harian Umum Enim Ekspres. Jalan Lintas Palembang, RT.001 RW.008 Muara Enim, Kabupaten Muara Enim",enimekspres.online@gmail.com
50,Lahat Pos,Cetak,Diansyah Putra,Diansyah Putra,Citra Lahat Media,Sumatera Selatan,Jalan RE Martadinata Kelurahan Pasar Lama Kecamatan Lahat Kabupaten Lahat Provinsi Sumatera Selatan,lahatposredaksi@gmail.com
51,era.id,Siber,M. Iqbal Irsyad ,M. Iqbal Irsyad,Era Indonesia Digital,DKI Jakarta,"Jl. Tebet Barat Dalam III, No. 20 RT.06/RW.03, Tebet, Jakarta Selatan",personalia@era.id
52,Dayak TV,Televisi,Hairil Supriadi,Hairil Supriadi,Dayak Media ,Kalimantan Tengah,Jln. C. Bangas No.17 A Palangka RayaKalimantan Tengah,koordadayaktv@gmail.com
53,balanganews.com,Siber,H. Hamli Tulis,H. Hamli Tulis,Balanga Sejahtera Abadi,Kalimantan Tengah,Jalan Marina Permai IV No.15 Kelurahan Langkai Kecamatan Pahandut,balanganews@gmail.com
54,Lensabangkabelitung.com,Siber,Mohammad Fathurrakhman,Mohammad Fathurrakhman,Ngelinyar Mediatama Pro,Kepulauan Bangka Belitung,"Jl. Datuk Bandarolelo No.114, Batin Tikal, Kec. Taman Sari, Kota Pangkal Pinang, Kepulauan Bangka Belitung",lensabangkabelitung@gmail.com
55,kanal9.id,Siber,Bambang Iswanto,Bambang Iswanto,Cyber Kanal Sembilan,Jawa Tengah,"Komplek UMKM Centre Lantai 2, Jalan Setiabudi No. 192 Srondol Wetan Banyumanik",redaksi@kanal9.id
56,Enim Ekspres,Cetak,Al- Azhar,Al- Azhar,Citra Prabu Media,Sumatera Selatan,Jl. Lintas Palembang Rt.001 Rw.008 Kel. Muara Enim Kab. Muara Enim,enimeks_mandiri@yahoo.com
57,radarjogja.jawapos.com,Siber,Amin Surachmad,Reren Indranila,Yogyakarta Intermedia Pers,DI Yogyakarta,"Jl Ringroad Utara No.88, Depok",online@radarjogja.co
58,Sariagri.id,Siber,Nurjaman Mochtar,Nurjaman Mochtar,Intisari Media Nusantara,DKI Jakarta,"Jalan Tebet Timur Dalam Raya No. 55A, Tebet Jakarta 12820",redaksi@sariagri.id
59,humabetang.com,Siber,Ali Subhan,Ali Subhan,Kalimantan Visi Media,Kalimantan Tengah,"Jalan nyai undang no. 5d, kelurahan Menteng, kecamatan jekan raya, kota palangkaraya, provinsi kalimantan tengah",kalimantanvisimedia@gmail.com
60,sigijateng.id,Siber,Aris Syaefudin Zuhri,Aris Syaefudin Zuhri,Sigi Media Utama ,Jawa Tengah,Jl. Bima 2 No 1 Pendrikan Kidul,sigijateng@gmail.com
61,Riau1.com,Siber,Almi Fitri,Almi Fitri,Media Pelangi Tunggal,Riau,"Perkantoran Grand Sudirman Blok D 19, Jl. Datuk Setia Maharaja, Kec. Tangkerang Selatan, Kel. Bukit Raya, Kota Pekanbaru-Riau, Indonesia",info@riau1.com
62,PredikatNews.com,Siber,Lukman Hakim,Lukman Hakim,Predikat Joyo Niaga,Lampung,"Jl. Harapan 1A No. 30, Kota Sepang, Kecamatan Labuhan Ratu",predikatnews@gmail.com
63,sudutpandang.id,Siber,Umi Sjarifah,Umi Sjarifah,Majalah Sudut Pandang,DKI Jakarta,Ruko Mega Grosir Cempaka Mas Blok D.1 No.11 Jl.Letjend Suprapto Jakarta Pusat,redaksi.sudutpandang@gmail.com
64,monitorindonesia.com,Siber,Sihol Manullang,Sihol Manullang,Media Elenora Utama,DKI Jakarta, Jl Galur Sari I No. 44 Utan Kayu,"redaksimonitorindonesia@gmail.com, redaksi@monitorindonesia.com"
65,Koranseruya.com,Siber,Chaerul Baderu ,Chaerul Baderu,Wisnu Aditya Intermedia Palopo,Sulawesi Selatan,Jalan Andi Djemma Nomor 127 Kelurahan Salekoe Kecamatan Wara Timur ,koran.seruya@gmail.com
66,Star FM,Radio,Anton Wahyu Prihartono,Nugroho Nurcahyo,Radio Suara Istana,DI Yogyakarta,"JL. AM Sangaji No.41 Cokrodiningratan, Jetis, Yogyakarta",redaksi1013@gmail.com
67,suarapublik.id,Siber,Mayasari,Mayasari,Media Suara Publik,Sumatera Selatan,Jalan Tegal Binangun RT. 20 Ruko No. 3. Kelurahan Plaju Darat,redaksi.spid@gmail.com
68,Ambon Ekspres,Cetak,Petrus Oratmangun,Petrus Oratmangun,Ambon Press Intermedia,Maluku,Jl. Yos Soedarso Kelurahan Honipopu Kecamatan Sirimau Ambon,ameks.koran@gmail.com
69,Mediatrias.com,Siber,Ilhamsah Purba,Ilhamsah Purba,Madormadini Trias Media,Kepulauan Riau,Graha MediaTrias Group Kaliban Trade Center Blok D No. 31 Kota Batam – Kepri Indonesia,redaksi.mediatrias@gmail.com
70,Beritaibukota.com,Siber,Abdul Hamid,Abdul Hamid,Bertiga Media Ibu Kota,Kepulauan Riau,Mahkota Alam Raya Blok Cemara 3 Nomor 34,"aripsindo@gmail.com , beritaibukota2020@gmail.com"
71,mitratoday.com,Siber,Junaidi ibnurrahman,Junaidi ibnurrahman,Media Mitra Cyber,Bengkulu,"Jl.Soekarno Hatta 12 No 02 Kelurahan Anggut Atas, Kecamatan Ratu Samban, Kota Bengkulu",mitratoday.com@gmail.com
72,detikglobalnews.com,Siber,Sorimunggu Sirait,Sorimunggu Sirait,Selci Enjelglobal Media,Kepulauan Riau,Kavling Mandiri Blok Q No 7 RT 004/RW 008 Tanjung Buntung - Bengkong - Batam - Provinsi Kepulauan Riau.,redaksidetikglobalnews@yahoo.com
73,gerbangindonesia.co.id,Siber,Lalu Habib Fadli,Lalu Habib Fadli,Gerbang Media Cemerlang,Nusa Tenggara Barat,"Jalan Pelikan No 07, Pajang Timur, Mataram",mediagerbangindonesia@gmail.com
74,kedannews.com,Siber,Zultaufik Nasution,Zultaufik Nasution,Media Suara Kedan,Sumatera Utara,"Jalan Jermal VII, Gg. Murni 5 No.1 ",redaksikedannews@gmail.com
75,ampar.id,Siber,Yasmin Simamora,Yasmin Simamora,Media Ampar KJA,Jambi,"Jl Radja Teratai RT.28, No.43 Tealanaipura, Jambi",newsampar2021@gmail.com
76,halosulsel.com,Siber,zaharuddin,Zaharuddin,PT Halo Media Grup,Sulawesi Selatan,Jl Bosowa Utara No 47 Palaguna,halomediagrup@gmail.com
77,beritanasional.id,Siber,Bakri Remmang,Bakri Remmang,Media Bakri Centre,Sulawesi Selatan,Jl. Bau Baharuddin Lantai II No. 2 Sengkang,ylbhbk@gmail.com
78,Tekape.co,Siber,Indar Ismail Jamaluddin,Indar Ismail Jamaluddin,Tempat Kreatifitas Anak Muda Pore,Sulawesi Selatan,"Jl. Andi Tenriadjeng, No 05, RT/RW: 010/002, Kelurahan Ponjalae, Kecamatan Wara Timur, Kota Palopo",redaksi@tekape.co | redaksitekape@gmail.com
79,rakyat.news,Siber,M Anwar Mahendra,M Anwar Mahendra,Mata Grup Nusantara,Sulawesi Selatan,"Jalan Andi Mappaodang, No. 81 B",redaksi@rakyat.news
80,NusaDaily.com,Siber,Yusron Aminulloh,Yusron Aminulloh,Nusa Daily Group,Jawa Timur,Jalan Jaksa Agung Suprapto II/52 Kota Malang,redaksi@nusadaily.com
81,Kabardesa.co.id,Siber,Jumardi,Jumardi,Media Kabar Desa,Sulawesi Selatan,"Jl. Bau Baharuddin Lantai I No. 2 Sengkang, Kelurahan Bulu Pabbulu, Kecamatan Tempe",kabardesa.co.id@gmail.com
82,infosulawesi.com,Siber,Yulhaidir Ibrahim H,Yulhaidir Ibrahim H,Solusindo Intermedia Sulawesi ,Sulawesi Selatan,Jl. Andi Djemma No. 108 Kota Palopo - Sulawesi Selatan,infosulawesidotcom@gmail.com
83,jatimsmart.id,Siber,Imam Subawi,Imam Subawi,Hamparan Rejeki Bersama,Jawa Timur,Ruko Hayam Wuruk Blok F4,jatimsmart.id@gmail.com
84,bangsaonline.com,Siber,Abdurrahman Ubaidah,Abdurrahman Ubaidah,Bangsa Sejahtera Pers,Jawa Timur,Jalan Gayungsari IX/5 Gayungan Kota Surabaya,bangsaonline@gmail.com
85,faktabanten.co.id ,Siber,A Fauzi Chan,A Fauzi Chan ,Warta Mediatama Indonesia ,Banten,"Jl. Piranha No. 40 Temu Putih, Kel. Taman Baru, Kecamatan Citangkil, Kota Cilegon - Banten",faktabanten.redaksi@gmail.com
86,Pesanku.co.id,Siber,Zaharuddin,zaharuddin,Media Kahir Grup,Sulawesi Selatan,Jl Kartika Candra Kirana,mediakahirgrup@gmail.com
87,Klikjatim.com,Siber,Aries Wahyudianto,Aries Wahyudianto,Klik Media Jatim,Jawa Timur,Perumahan Pondok Permata Suci Jalan Opal II/31 Permata Village 6F Kecamatan Manyar ,redaksiklikjatim@gmail.com
88,banjarmasinpost.co.id,Siber,Cecep Burdansyah,Cecep Burdansyah,Grafika Wangi Kalimantan,Kalimantan Selatan,"Gedung Hj Djok Mentaya, Jl AS Musyaffa No16 Banjarmasin, Kalimantan Selatan, 70111",redaksi@banjarmasinpost.co.id
89,Beritabangsa.com,Siber,Isma Hakim Rahmat,Isma Hakim Rahmat,Media Jaya Lestari,Jawa Timur,"Taman Irawati 7A, Kelurahan Sidotopo, Kecamatan Semampir.",redaksi@beritabangsa.com
90,megapolitanpos.com,Siber,Yohan,Yohan,Megapolitanpos Media Nusantara,DKI Jakarta,JL. Pasarminggu Raya NO 13 Lantai 3 RT 007/08 Kelurahan Kalibata Kecamatan Pancoran,redaksi@megapolitanpos.com
91,Ritmee.co.id,Siber,Buyung Maksum,Buyung Maksum,Asa mandiri multimedia,Sulawesi Selatan,JL KHM Razak Nomor 40,redaksiritmee@gmail.com
92,liputanoke.com,Siber,Elfi Alkhairi,Elfi Alkhairi ,Mentari Kreasi Media,Riau,"Jl. Tengku Bey, Maya Graha  No 23, Simpangtiga, Pekanbaru, Riau",liputanoke@yahoo.com
93, okesulsel.com,Siber,Firmansyah,Firmansyah,Media Oke Sulsel,Sulawesi Selatan,"Jl. Bau Baharuddin Lantai I No. 2 Sengkang, Kelurahan Bulu Pabbulu, Kecamatan Tempe",redaksiokesulsel@gmail.com
94,Koran Seruya ,Cetak,chaerul baderu,Chaerul Baderu,Wisnu Aditya Intermedia Palopo,Sulawesi Selatan,Jalan Kelapa No.73 ,verifikasiseruya@gmail.com
95,teraskata.com,Siber,Asdar,Asdar,Rania Press Mediatama,Sulawesi Selatan,"Jalan Yos Sudarso, Kelurahan Pontap, Kecamatan Wara Timur",redaksi.teraskata@gmail.com
96,Mediabahana.com,Siber,Moh. Supriyadi Syarifuddin,Moh. Supriyadi Syarifuddin,Media Bahana Indonesia,Sulawesi Selatan,"Jl Andi Malingkaan Empagae , Kecamatan Tanasitolo",mediabahana02@gmail.com
97,lintascelebes.com,Siber,Moh. Supriyadi Syarifuddin,Moh. Supriyadi Syarifuddin,Media Lintas Celebes,Sulawesi Selatan,Jl. Ambo Ewang Empagae Desa Assorajang Kec. Tanasitolo,medialintascelebes@gmail.com
98,palopopos.co.id,Siber,Muh. Akbar,Muh. Akbar,Palopo Pos Media Syber,Sulawesi Selatan,JL. Andi Djemma No. 94 ,palopoposcoid@gmail.com
99,Bataminfo.co.id,Siber,M Ansyarullah Kahfi Ansyari,M. Ansyarullah Kahfi Ansyari,Bataminfo Media Utama,Kepulauan Riau,Komplek Ruko Botania 1 blok F3 no 2B,batam.info007@gmail.com
100,Berita metro,Cetak,Lutfil hakim,Lutfil hakim,Harian berita metro,Jawa Timur,Jl Tunjungan Nomor 86 Surabaya,redaksi.beritametro86@gmail.com
101, wajoterkini.com,Siber,Bakri Remmang,Bakri Remmang,Media Wajo Terkini,Sulawesi Selatan,Jl. Bau Baharuddin No. 2  Lantai II Sengkang - Kabupaten Wajo,redaksi@wajoterkini.com
102,JATIMNOW.COM,Siber,Rois Jajeli,Rois Jajeli,Media Jatim Bersama,Jawa Timur,"Jalan Jimerto 17A, Surabaya",jatimnow@gmail.com
103,penapost.id,Siber,Muhammad Zairin,Muhammad Zairin,Pena Post Multi Media,Aceh,"Jalan Teungku Imum Lueng Bata, Nomor 4, Lamseupeung, Kecamatan Lueng Bata, Kota Banda Aceh, Provinsi Aceh",penapost.mendaftar@gmail.com
104,blokbojonegoro.com,Siber,Parto Sasmito,Parto Sasmito,Blok Bojonegoro Media,Jawa Timur,"Jalan Ks Tubun Gg Srinayan No 3 Kelurahan Mojokampung, Kecamatan Bojonegoro, Kabupaten Bojonegoro, Jawa Timur",blokBojonegoro@gmail.com
105,blokTuban.com,Siber,Sri Wiyono,Sri Wiyono,Blok Tuban Promosindo,Jawa Timur,"Jalan Sunan Muria No 28, Kelurahan Latsari, Kecamatan Tuban, Kabupaten Tuban.",bloktuban@gmail.com
106,matatelinga.com,Siber,Amrizal,Amrizal,Mata Telinga Telinga,Sumatera Utara,"Jalan Stasiun No.5 DEF, Kelurahan Kesawan, Kecamatan Medan Barat, Kota Medan- SUmatera Utara",matatelinga.tv@gmail.com
107,Memontum.com,Siber,Januar Triwahyudi,Januar Triwahyudi,Memo Arema Sejahtera,Jawa Timur,"Ruko Istana Dinoyo Blok B/6, JL. MT Haryono 1A Dinoyo, Kota Malang",memontumdotcom@gmail.com
108,JTV Madiun,Televisi,Fariansyah,Fariansyah,Jati Magetan Televisi,Jawa Timur,"JL. Sari Mulya No. 47, Kelurahan Rejomulyo, Kecamatan Kartoharjo",jtvbiromadiun@gmail.com
109,suarasiber.com,Siber,Nurali Mahmudi,Nurali Mahmudi,Sigma Intermedia Pers,Kepulauan Riau,"Komplek Ruko Bintan Centre Blok O Nomor 14, Kelurahan Batu IX, Kecamatan Tanjungpinang Timur, Kota Tanjungpinang, Provinsi Kepulauan Riau, Indonesia",suarasiber@gmail.com
110,Selasar.co,Siber,Achmad Ridwan,Achmad Ridwan,Selasar Lingkar Media,Kalimantan Timur,Jl. Untung Suropati Komp.Mahakam Square Blok B no.5A Kec.Sungai Kunjang,dotcomselasar@gmail.com
111,Jalurnews.com,Siber,Descrates Pasaribu,Descrates Pasaribu,Jalur Media Sejahtera,Kepulauan Riau,"Gedung Graha Mas Lantai 3 R 302, Jl. Imam Bonjol Nagoya, Kel. Sungai Jodoh, Kec. Batu Ampar",jalurnewsofficial@gmail.com
112,mimbarpublik.com,Siber,Hendrata Yudha Wardana,Hendrata Yudha Wardana,Mimbar Media Sejahtera,Kepulauan Riau,"Gedung Graha Mas Lantai 3 R-WCL 401, Jl. Imam Bonjol Nagoya, Kel. Sungai Jodoh, Kec. Batu Ampar",mimbarpublikofficial@gmail.com
113,bacaini.id,Siber,Afnan Subagio,Afnan Subagio,Baca Ini Media,Jawa Timur,Jalan Letjen Sutoyo 108 Kelurahan Bangsal Kota Kediri ,redaksi.bacaini@gmail.com
114,kepribetter.com,Siber,Hendrata Yudha Wardana,Hendrata Yudha Wardana,Jalur Media Sejahtera,Kepulauan Riau,"Gedung Graha Mas Lantai 3 R 302, Jl. Imam Bonjol Nagoya, Kel. Sungai Jodoh, Kec. Batu Ampar",kepribetterofficial@gmail.com
115,Katasatu.co.id,Siber,Arisal,Arisal,Kata Satu Intermedia,Sulawesi Selatan,"Jl. Samiun No 4 Kel. Ammasangan, Kec. Wara Kota Palopo",katasatu2017@gmail.com
116,kabar6.com,Siber,Abdillah Pahresi,Abdillah Pahresi,Kabar6 Multi Media,Banten,"Amarapura Blok G3/13, Kademangan, Setu, Kota Tangerang Selatan",kabarenam6@gmail.com
117,Radarmandalika.id,Siber,Achmad Sukisman Azmy,Achmad Sukisman Azmy,Mandalika Media Pratama,Nusa Tenggara Barat,Jl. Sultan Hasanudin No. 27 Praya,rmdiki36@gmail.com
118,bogordaily.net,Siber,Kentoz Reza Artoko,Kentoz Reza Artoko,Jaring Teguh Perkasa,Jawa Barat,Ruko Kemang Valley Residence No. R3 Jalan Raya Kemang Kabupaten Bogor,pt.jaringteguhperkasa@gmail.com
119,klikmetro.com,Siber,Amrizal,Amrizal,Media Klik Metro,Sumatera Utara,"Jl. Marelan Raya Gang Manggis, Kelurahan Tanah Enam Ratus, Kecamatan Medan Marelan.",klikmetro@gmail.com
120,Berkabarnews.com,Siber,Rusdianto,Rusdianto,Berkabar Anam Putri,Riau,Komp. GCA Blok D/17 Jln Purwodadi Panam,berkabaranamputi@gmail.com
121,suaraserumpun.com,Siber,Mario Abdillah Khair,Mario Abdillah Khair,Jong Lintas Media,Kepulauan Riau,"Komplek Perumahan Mahkota Alam Permai, Nomor 1 Blok A, Pinang Kencana, Kelurahan Batu Sembilan, Tanjungpinang Timur, Tanjungpinang, Kepulauan Riau.",suaraserumpun1@gmail.com
